osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,tunnel,access
"[1036022973, 4075070]","['Moxon Street', 'Moon Lane']",residential,30 mph,False,True,113.637,"LINESTRING (-0.1989705 51.6542745, -0.1989614 51.6543086, -0.1990014 51.6544669, -0.1990479 51.6546129, -0.1990788 51.6546442, -0.1991442 51.6546422, -0.1992591 51.654617, -0.2000577 51.6544421)",,,,
1180225079,High Street,primary,30 mph,False,False,66.84,"LINESTRING (-0.2015645 51.6542359, -0.2016802 51.6548327)",2,A1000,,
3185101,Union Street,residential,30 mph,True,False,163.834,"LINESTRING (-0.2015645 51.6542359, -0.2016481 51.6542327, -0.2018619 51.6542244, -0.202148 51.6542278, -0.2023995 51.6542297, -0.2025529 51.6542308, -0.2027104 51.6542207, -0.2028367 51.6542068, -0.2031798 51.6541625, -0.2038909 51.654017)",,,,
"[8119813, 1180225079]",High Street,primary,30 mph,False,True,64.364,"LINESTRING (-0.2015645 51.6542359, -0.201538 51.6541103, -0.2015123 51.6539802, -0.2014719 51.6537974, -0.2014353 51.6536902, -0.201421 51.6536647)",2,A1000,,
1180225079,High Street,primary,30 mph,False,True,66.84,"LINESTRING (-0.2016802 51.6548327, -0.2015645 51.6542359)",2,A1000,,
"[47010321, 1020885650]",High Street,primary,30 mph,False,False,152.36700000000002,"LINESTRING (-0.2016802 51.6548327, -0.201703 51.6549508, -0.2017497 51.6552016, -0.201787 51.6553565, -0.2018545 51.6556102, -0.2018679 51.6557927, -0.201867 51.6559678, -0.2018633 51.6561322, -0.2018615 51.6561951)","['2', '4']",A1000,,
8119818,St Albans Road,primary,30 mph,False,False,16.019,"LINESTRING (-0.2018615 51.6561951, -0.2019696 51.6563226)",,A1081,,
968280529,Hadley Green,primary,30 mph,False,False,17.65,"LINESTRING (-0.2018615 51.6561951, -0.2018178 51.6563515)",,A1000,,
"[47010321, 1020885650]",High Street,primary,30 mph,False,True,152.36700000000002,"LINESTRING (-0.2018615 51.6561951, -0.2018633 51.6561322, -0.201867 51.6559678, -0.2018679 51.6557927, -0.2018545 51.6556102, -0.201787 51.6553565, -0.2017497 51.6552016, -0.201703 51.6549508, -0.2016802 51.6548327)","['2', '4']",A1000,,
8119818,St Albans Road,primary,30 mph,False,False,50.72,"LINESTRING (-0.2021114 51.6564108, -0.2022208 51.6564755, -0.202522 51.6566422, -0.2026594 51.6567148)",,A1081,,
8119818,St Albans Road,primary,30 mph,False,True,13.852,"LINESTRING (-0.2021114 51.6564108, -0.2020384 51.6563654, -0.2019968 51.6563395, -0.2019696 51.6563226)",,A1081,,
24677071,,primary_link,30 mph,True,False,22.439,"LINESTRING (-0.2021114 51.6564108, -0.202006 51.656408, -0.2019582 51.6564142, -0.2019256 51.6564185, -0.2018067 51.6564615)",,,,
8119818,St Albans Road,primary,30 mph,False,True,55.800000000000004,"LINESTRING (-0.2032847 51.6570331, -0.2031666 51.6569753, -0.2028806 51.6568267, -0.2026594 51.6567148)",,A1081,,
48736823,Stapylton Road,unclassified,30 mph,False,True,99.21600000000001,"LINESTRING (-0.2032847 51.6570331, -0.2033927 51.6569194, -0.2035171 51.6568149, -0.20387 51.6566765, -0.203917 51.6566468, -0.2040274 51.6565607, -0.2041009 51.6564721, -0.2041505 51.6564042, -0.2041743 51.6563611)",,,,
4237276,Manor Road,tertiary,30 mph,False,False,202.93800000000002,"LINESTRING (-0.2037676 51.6511904, -0.203753 51.6513104, -0.2037376 51.6514748, -0.2036891 51.6519432, -0.2035892 51.6525835, -0.203572 51.6527944, -0.203591 51.6530103)",,,,
4237276,Manor Road,tertiary,30 mph,False,True,103.62499999999999,"LINESTRING (-0.2037676 51.6511904, -0.2038056 51.6508379, -0.2038363 51.6506267, -0.2038579 51.6504494, -0.2038614 51.6503833, -0.2038735 51.6502609)",,,,
"[146647706, 1168159654, 1168159655]",Sutherland Close,residential,30 mph,False,True,66.083,"LINESTRING (-0.2037676 51.6511904, -0.2041455 51.6512104, -0.204319 51.6512195, -0.2046826 51.6512388, -0.204722 51.6512408)",,,,
2767,Vale Drive,residential,20 mph,False,False,84.928,"LINESTRING (-0.194182 51.648656, -0.1947361 51.6491535, -0.1948851 51.6492829)",,,,
2767,Vale Drive,residential,20 mph,False,False,83.534,"LINESTRING (-0.1948851 51.6492829, -0.1955005 51.6498513, -0.195557 51.6499078)",,,,
2767,Vale Drive,residential,20 mph,False,True,84.928,"LINESTRING (-0.1948851 51.6492829, -0.1947361 51.6491535, -0.194182 51.648656)",,,,
2767,Vale Drive,residential,20 mph,False,True,83.534,"LINESTRING (-0.195557 51.6499078, -0.1955005 51.6498513, -0.1948851 51.6492829)",,,,
2769,Milton Avenue,residential,20 mph,False,False,72.50899999999999,"LINESTRING (-0.195557 51.6499078, -0.1955064 51.6499334, -0.1954864 51.6499435, -0.1954192 51.6499588, -0.1953248 51.6499644, -0.1951805 51.6499693, -0.1950341 51.649965, -0.1948132 51.649944, -0.1947486 51.6499412, -0.1947037 51.6499504, -0.1946697 51.6499705, -0.1945821 51.6500213)",,,,
4075068,Park Road,residential,30 mph,False,False,48.967999999999996,"LINESTRING (-0.1985824 51.6529972, -0.1986713 51.6529703, -0.1987576 51.6529375, -0.1988638 51.6528812, -0.1990092 51.6527625, -0.1990334 51.6527427, -0.1990878 51.6526985)",,,,
4075068,Park Road,residential,30 mph,False,True,253.478,"LINESTRING (-0.1985824 51.6529972, -0.1984591 51.6530247, -0.1983277 51.6530322, -0.1979806 51.6529881, -0.1978704 51.6529837, -0.1977272 51.6529873, -0.1975714 51.6530006, -0.1973985 51.653025, -0.1971574 51.6530755, -0.1969189 51.6531382, -0.1964011 51.6532877, -0.1959345 51.6534308, -0.1957919 51.6534801, -0.1955669 51.6535643, -0.1953486 51.6536625, -0.195213 51.6537239)",,,,
4075406,Victors Way,residential,30 mph,False,True,165.32899999999998,"LINESTRING (-0.1985824 51.6529972, -0.1985982 51.6530277, -0.1986167 51.6531302, -0.198621 51.653205, -0.1986468 51.6532914, -0.1987296 51.653387, -0.1988696 51.6534656, -0.1992529 51.6535581, -0.1992968 51.6535692, -0.1994771 51.6536147, -0.1996376 51.6536586, -0.199753 51.6537054, -0.1998136 51.6537598, -0.1999215 51.6538723, -0.2000265 51.6539953, -0.2000476 51.6540193)",,,,
4075405,Newlyn Road,residential,30 mph,False,False,98.195,"LINESTRING (-0.2004388 51.6490991, -0.2009826 51.6492568, -0.2011254 51.649293, -0.2017531 51.6494361)",,,,
8120062,Normandy Avenue,residential,30 mph,False,True,349.9189999999999,"LINESTRING (-0.2004388 51.6490991, -0.2004046 51.6491436, -0.2003603 51.6491885, -0.1999271 51.649551, -0.198051 51.6511203, -0.1979446 51.6511988, -0.197422 51.6515169, -0.1973893 51.6515367, -0.1973265 51.651575)",,,,
298341988,Barnet Hill,primary,30 mph,False,False,18.85,"LINESTRING (-0.1962086 51.6509024, -0.1964188 51.6510107)",3,A1000,,
298341992,Barnet Hill,primary,30 mph,False,True,148.983,"LINESTRING (-0.1962086 51.6509024, -0.1955049 51.6505341, -0.1945821 51.6500213)",3,A1000,,
1213,High Street,primary,30 mph,False,False,107.33299999999998,"LINESTRING (-0.1973265 51.651575, -0.1976765 51.6518527, -0.1980109 51.6520832, -0.19809 51.6521325, -0.1983148 51.6522727, -0.1983548 51.6522978)",4,A1000,,
1213,High Street,primary,30 mph,False,True,68.263,"LINESTRING (-0.1973265 51.651575, -0.1971481 51.651439, -0.1969711 51.6513232, -0.1967589 51.6511939, -0.1966464 51.6511303)",4,A1000,,
8120062,Normandy Avenue,residential,30 mph,False,False,349.91900000000004,"LINESTRING (-0.1973265 51.651575, -0.1973893 51.6515367, -0.197422 51.6515169, -0.1979446 51.6511988, -0.198051 51.6511203, -0.1999271 51.649551, -0.2003603 51.6491885, -0.2004046 51.6491436, -0.2004388 51.6490991)",,,,
2925237,The Avenue,residential,30 mph,False,True,39.545,"LINESTRING (-0.2068656 51.6531753, -0.2069934 51.6532461, -0.2072133 51.6533617, -0.2072944 51.6534111)",,,,
24693039,Union Street,residential,30 mph,False,True,54.275999999999996,"LINESTRING (-0.2068656 51.6531753, -0.2066318 51.6532766, -0.2063703 51.6533585, -0.2063117 51.6533858, -0.2062175 51.6534461)",,,,
619592706,The Avenue,residential,30 mph,False,False,22.359,"LINESTRING (-0.2068656 51.6531753, -0.2068663 51.6530846, -0.2068859 51.6529749)",,,,
3185073,Stapylton Road,unclassified,30 mph,False,False,38.536,"LINESTRING (-0.2062175 51.6534461, -0.2060804 51.6535753, -0.2059033 51.6537326)",,,,
24693039,Union Street,residential,30 mph,False,False,54.275999999999996,"LINESTRING (-0.2062175 51.6534461, -0.2063117 51.6533858, -0.2063703 51.6533585, -0.2066318 51.6532766, -0.2068656 51.6531753)",,,,
3185073,Stapylton Road,unclassified,30 mph,False,False,74.446,"LINESTRING (-0.2051769 51.6543612, -0.2050505 51.6545703, -0.2048188 51.6549927)",,,,
3185073,Stapylton Road,unclassified,30 mph,False,True,86.121,"LINESTRING (-0.2051769 51.6543612, -0.2052389 51.6542867, -0.2052983 51.6542331, -0.2059033 51.6537326)",,,,
3185073,Stapylton Road,unclassified,30 mph,False,True,74.446,"LINESTRING (-0.2048188 51.6549927, -0.2050505 51.6545703, -0.2051769 51.6543612)",,,,
47010322,Stapylton Road,unclassified,30 mph,False,False,84.949,"LINESTRING (-0.2048188 51.6549927, -0.2046592 51.6553307, -0.2046282 51.6553963, -0.2044926 51.6556788, -0.204473 51.6557259)",,,,
1055842204,Salisbury Road,residential,30 mph,False,False,41.6,"LINESTRING (-0.2048188 51.6549927, -0.204769 51.6549825, -0.2042408 51.6548861)",,,,
4328624,Orchard Road,residential,30 mph,False,False,39.45099999999999,"LINESTRING (-0.2005823 51.6509975, -0.2008116 51.6511332, -0.2010007 51.6512393)",,,,
8120064,Fitzjohn Avenue,residential,30 mph,False,False,192.929,"LINESTRING (-0.2005823 51.6509975, -0.2007251 51.6509027, -0.2008099 51.6508325, -0.200859 51.6507919, -0.200939 51.6507096, -0.201055 51.6505607, -0.2012052 51.6503414, -0.2014219 51.6499834, -0.2017531 51.6494361)",,,,
"[8120064, 8120063]",Fitzjohn Avenue,residential,30 mph,False,"[False, True]",216.681,"LINESTRING (-0.2005823 51.6509975, -0.200418 51.6510745, -0.2001491 51.6511764, -0.1999768 51.6512434, -0.199777 51.651352, -0.1996851 51.6514215, -0.1993955 51.6517707, -0.1992094 51.6519993, -0.1991347 51.6520937, -0.1991053 51.6521308, -0.1990817 51.6521606, -0.1989404 51.6523292, -0.1988143 51.6524115, -0.1987754 51.6524368, -0.1986888 51.6524926)",,,,
4075405,Newlyn Road,residential,30 mph,False,True,98.195,"LINESTRING (-0.2017531 51.6494361, -0.2011254 51.649293, -0.2009826 51.6492568, -0.2004388 51.6490991)",,,,
8120064,Fitzjohn Avenue,residential,30 mph,False,True,192.92900000000003,"LINESTRING (-0.2017531 51.6494361, -0.2014219 51.6499834, -0.2012052 51.6503414, -0.201055 51.6505607, -0.200939 51.6507096, -0.200859 51.6507919, -0.2008099 51.6508325, -0.2007251 51.6509027, -0.2005823 51.6509975)",,,,
2925237,The Avenue,residential,30 mph,False,False,39.545,"LINESTRING (-0.2072944 51.6534111, -0.2072133 51.6533617, -0.2069934 51.6532461, -0.2068656 51.6531753)",,,,
842134698,Alston Road,residential,30 mph,False,True,17.574,"LINESTRING (-0.2061449 51.6568243, -0.2063603 51.6567399)",,,,
3185074,Strafford Road,residential,30 mph,False,False,145.934,"LINESTRING (-0.2061449 51.6568243, -0.2060748 51.6567827, -0.2057844 51.6567174, -0.2049553 51.6565265, -0.2044574 51.656421, -0.2041743 51.6563611)",,,,
48736822,Alston Road,residential,30 mph,False,False,77.321,"LINESTRING (-0.2061449 51.6568243, -0.2058193 51.6569622, -0.205768 51.6569919, -0.2057197 51.657039, -0.2054574 51.6573505)",,,,
3185073,Stapylton Road,unclassified,30 mph,False,False,86.12100000000001,"LINESTRING (-0.2059033 51.6537326, -0.2052983 51.6542331, -0.2052389 51.6542867, -0.2051769 51.6543612)",,,,
3185073,Stapylton Road,unclassified,30 mph,False,True,38.536,"LINESTRING (-0.2059033 51.6537326, -0.2060804 51.6535753, -0.2062175 51.6534461)",,,,
3185074,Strafford Road,residential,30 mph,False,True,145.934,"LINESTRING (-0.2041743 51.6563611, -0.2044574 51.656421, -0.2049553 51.6565265, -0.2057844 51.6567174, -0.2060748 51.6567827, -0.2061449 51.6568243)",,,,
47010322,Stapylton Road,unclassified,30 mph,False,True,73.577,"LINESTRING (-0.2041743 51.6563611, -0.2042392 51.6562263, -0.2042983 51.6560988, -0.2043895 51.6558973, -0.204473 51.6557259)",,,,
48736823,Stapylton Road,unclassified,30 mph,False,False,99.216,"LINESTRING (-0.2041743 51.6563611, -0.2041505 51.6564042, -0.2041009 51.6564721, -0.2040274 51.6565607, -0.203917 51.6566468, -0.20387 51.6566765, -0.2035171 51.6568149, -0.2033927 51.6569194, -0.2032847 51.6570331)",,,,
4328591,Scholars Close,residential,30 mph,False,False,79.019,"LINESTRING (-0.2064148 51.6514374, -0.2060298 51.6514242, -0.2058543 51.6513964, -0.2057926 51.6513514, -0.2057685 51.6512632, -0.2057068 51.6512333, -0.205452 51.6511983)",,,,
8124478,Hillside Gardens,residential,30 mph,False,False,155.81,"LINESTRING (-0.2064148 51.6514374, -0.2064019 51.6515429, -0.2063629 51.6516923, -0.2063092 51.6517991, -0.2062856 51.6518553, -0.2062737 51.6519109, -0.2061919 51.6523913, -0.2061288 51.6528245)",,,,
8124478,Hillside Gardens,residential,30 mph,False,True,92.608,"LINESTRING (-0.2064148 51.6514374, -0.2064472 51.6510948, -0.2064443 51.6508431, -0.2064328 51.6507377, -0.2064109 51.6506061)",,,,
842134698,Alston Road,residential,30 mph,False,False,17.574,"LINESTRING (-0.2063603 51.6567399, -0.2061449 51.6568243)",,,,
842134698,Alston Road,residential,30 mph,False,True,43.962,"LINESTRING (-0.2063603 51.6567399, -0.206891 51.656521)",,,,
842134698,Alston Road,residential,30 mph,False,False,43.962,"LINESTRING (-0.206891 51.656521, -0.2063603 51.6567399)",,,,
3618216,Carnarvon Road,residential,30 mph,False,False,196.194,"LINESTRING (-0.206891 51.656521, -0.2065897 51.6562315, -0.206463 51.6561541, -0.2063363 51.6561038, -0.2048961 51.6558099, -0.2045406 51.6557388, -0.204473 51.6557259)",,,,
3618216,Carnarvon Road,residential,30 mph,False,True,196.19400000000002,"LINESTRING (-0.204473 51.6557259, -0.2045406 51.6557388, -0.2048961 51.6558099, -0.2063363 51.6561038, -0.206463 51.6561541, -0.2065897 51.6562315, -0.206891 51.656521)",,,,
47010322,Stapylton Road,unclassified,30 mph,False,False,73.577,"LINESTRING (-0.204473 51.6557259, -0.2043895 51.6558973, -0.2042983 51.6560988, -0.2042392 51.6562263, -0.2041743 51.6563611)",,,,
47010322,Stapylton Road,unclassified,30 mph,False,True,84.949,"LINESTRING (-0.204473 51.6557259, -0.2044926 51.6556788, -0.2046282 51.6553963, -0.2046592 51.6553307, -0.2048188 51.6549927)",,,,
"[1036022973, 4075070]","['Moxon Street', 'Moon Lane']",residential,30 mph,False,False,113.63700000000001,"LINESTRING (-0.2000577 51.6544421, -0.1992591 51.654617, -0.1991442 51.6546422, -0.1990788 51.6546442, -0.1990479 51.6546129, -0.1990014 51.6544669, -0.1989614 51.6543086, -0.1989705 51.6542745)",,,,
4336276,Tapster Street,residential,30 mph,False,False,51.404,"LINESTRING (-0.2000577 51.6544421, -0.2001075 51.6545976, -0.2003117 51.6547568, -0.2004281 51.6548264)",,,,
4336276,Tapster Street,residential,30 mph,False,True,49.926,"LINESTRING (-0.2000577 51.6544421, -0.2000666 51.6544154, -0.2001315 51.6539956)",,,,
4336276,Tapster Street,residential,30 mph,False,False,6.291,"LINESTRING (-0.2004281 51.6548264, -0.2005065 51.6547975)",,,,
4336276,Tapster Street,residential,30 mph,False,True,51.403999999999996,"LINESTRING (-0.2004281 51.6548264, -0.2003117 51.6547568, -0.2001075 51.6545976, -0.2000577 51.6544421)",,,,
419736592,Tapster Street,residential,30 mph,False,False,51.486000000000004,"LINESTRING (-0.2004281 51.6548264, -0.2002774 51.6548605, -0.1996958 51.6549046)",,,,destination
419736592,Tapster Street,residential,30 mph,False,True,51.486000000000004,"LINESTRING (-0.1996958 51.6549046, -0.2002774 51.6548605, -0.2004281 51.6548264)",,,,destination
4075068,Park Road,residential,30 mph,False,False,253.478,"LINESTRING (-0.195213 51.6537239, -0.1953486 51.6536625, -0.1955669 51.6535643, -0.1957919 51.6534801, -0.1959345 51.6534308, -0.1964011 51.6532877, -0.1969189 51.6531382, -0.1971574 51.6530755, -0.1973985 51.653025, -0.1975714 51.6530006, -0.1977272 51.6529873, -0.1978704 51.6529837, -0.1979806 51.6529881, -0.1983277 51.6530322, -0.1984591 51.6530247, -0.1985824 51.6529972)",,,,
4075804,Cattley Close,residential,30 mph,False,True,102.622,"LINESTRING (-0.2048591 51.6520285, -0.2048725 51.6521928, -0.2049188 51.6522644, -0.2050354 51.6524258, -0.2050596 51.6524861, -0.2050629 51.6527836, -0.2050944 51.652927)",,,,
4236159,Willow Drive,unclassified,30 mph,False,False,88.119,"LINESTRING (-0.2052506 51.6494818, -0.2045888 51.6494448, -0.2039779 51.6494155)",,,,
4236159,Willow Drive,unclassified,30 mph,False,True,88.119,"LINESTRING (-0.2039779 51.6494155, -0.2045888 51.6494448, -0.2052506 51.6494818)",,,,
"[8136224, 4237276]",Manor Road,tertiary,30 mph,False,"[False, True]",94.279,"LINESTRING (-0.2039779 51.6494155, -0.2039608 51.6495594, -0.2039176 51.649921, -0.203897 51.6500802, -0.2038735 51.6502609)",,,,
4236160,Manorside,residential,30 mph,False,True,72.723,"LINESTRING (-0.2038735 51.6502609, -0.2042562 51.6502739, -0.2045208 51.6502627, -0.2049251 51.6502827)",,,,
4237276,Manor Road,tertiary,30 mph,False,False,103.625,"LINESTRING (-0.2038735 51.6502609, -0.2038614 51.6503833, -0.2038579 51.6504494, -0.2038363 51.6506267, -0.2038056 51.6508379, -0.2037676 51.6511904)",,,,
"[8136224, 4237276]",Manor Road,tertiary,30 mph,False,"[False, True]",94.279,"LINESTRING (-0.2038735 51.6502609, -0.203897 51.6500802, -0.2039176 51.649921, -0.2039608 51.6495594, -0.2039779 51.6494155)",,,,
4236160,Manorside,residential,30 mph,False,False,14.63,"LINESTRING (-0.2051364 51.6502938, -0.2049251 51.6502827)",,,,
4328616,Pinecroft Crescent,residential,30 mph,False,False,73.099,"LINESTRING (-0.2064109 51.6506061, -0.2062884 51.6506161, -0.206217 51.6506043, -0.2061583 51.6505777, -0.2060369 51.6504421, -0.205961 51.6503749, -0.2059446 51.6503367, -0.2059588 51.6501238)",,,,
8124478,Hillside Gardens,residential,30 mph,False,False,92.608,"LINESTRING (-0.2064109 51.6506061, -0.2064328 51.6507377, -0.2064443 51.6508431, -0.2064472 51.6510948, -0.2064148 51.6514374)",,,,
8124478,Hillside Gardens,residential,30 mph,False,True,91.362,"LINESTRING (-0.2064109 51.6506061, -0.2064113 51.6502372, -0.2064054 51.6500896, -0.2063864 51.6499983, -0.2063883 51.6499063, -0.2063975 51.6497854)",,,,
4328624,Orchard Road,residential,30 mph,False,False,58.834,"LINESTRING (-0.2010007 51.6512393, -0.2011965 51.6513187, -0.2013514 51.6513607, -0.2017719 51.6514598)",,,,
4328624,Orchard Road,residential,30 mph,False,True,39.45099999999999,"LINESTRING (-0.2010007 51.6512393, -0.2008116 51.6511332, -0.2005823 51.6509975)",,,,
4328629,Elm Road,residential,30 mph,False,False,51.696,"LINESTRING (-0.2010007 51.6512393, -0.2008532 51.651342, -0.2007151 51.651461, -0.2005737 51.651619)",,,,
4328624,Orchard Road,residential,30 mph,False,True,58.834,"LINESTRING (-0.2017719 51.6514598, -0.2013514 51.6513607, -0.2011965 51.6513187, -0.2010007 51.6512393)",,,,
