osmid,oneway,lanes,ref,highway,maxspeed,junction,reversed,length,geometry,name,bridge,tunnel,access,width
"[1183717417, 4228252, 316573934]",False,2,,tertiary,20 mph,,False,178.66899999999998,"LINESTRING (1.0771988 51.2828433, 1.0769613 51.282666, 1.0768202 51.282594, 1.0764529 51.2824096, 1.0761905 51.2822656, 1.0759615 51.2821186, 1.0759089 51.2820837, 1.075852 51.2820459, 1.075787 51.2819964, 1.0757128 51.281928, 1.0755495 51.2817617, 1.0755051 51.2816639)",North Lane,,,,
4228252,False,2,,tertiary,20 mph,,True,140.22199999999998,"LINESTRING (1.0771988 51.2828433, 1.0772324 51.2828706, 1.0774144 51.2830749, 1.0775463 51.2831763, 1.0775861 51.2832069, 1.0777881 51.2833258, 1.0778609 51.283375, 1.0780396 51.2834975, 1.0784956 51.2838006)",North Lane,,,,
28702011,False,,,residential,20 mph,,False,20.026000000000003,"LINESTRING (1.0771988 51.2828433, 1.0772413 51.2828306, 1.077317 51.2827895, 1.0774231 51.2827318)",Riverside Court,,,,
31752693,False,2,A290,primary,20 mph,,False,61.753,"LINESTRING (1.0755051 51.2816639, 1.0753001 51.2817218, 1.074773 51.2819733)",St. Dunstan's Street,,,,
"[165380010, 165380011, 693522477, 693522478, 171628526]",True,1,A290,primary,20 mph,,False,38.784,"LINESTRING (1.0755051 51.2816639, 1.0755781 51.2816314, 1.075675 51.281549, 1.0757247 51.2815224, 1.075769 51.2815032, 1.0758131 51.2814839, 1.0759124 51.2814301)",St. Peter's Place,yes,building_passage,,
"[217831169, 157053407]",False,2,,residential,20 mph,,True,68.574,"LINESTRING (1.0755051 51.2816639, 1.0754687 51.2816125, 1.0754296 51.2815682, 1.0749872 51.2813837, 1.0747488 51.2812878)",Westgate Grove,,,,
"[1183717417, 4228252, 316573934]",False,2,,tertiary,20 mph,,True,178.66899999999998,"LINESTRING (1.0755051 51.2816639, 1.0755495 51.2817617, 1.0757128 51.281928, 1.075787 51.2819964, 1.075852 51.2820459, 1.0759089 51.2820837, 1.0759615 51.2821186, 1.0761905 51.2822656, 1.0764529 51.2824096, 1.0768202 51.282594, 1.0769613 51.282666, 1.0771988 51.2828433)",North Lane,,,,
"[217831168, 120297217, 4412553, 141105886, 217831167]",True,1,A290,primary,20 mph,,False,61.583,"LINESTRING (1.0760459 51.2812573, 1.0760097 51.2812859, 1.0759402 51.2813401, 1.0758387 51.2813825, 1.075729 51.2814234, 1.0756538 51.2814611, 1.0755255 51.2815697, 1.075509 51.2815941, 1.0755051 51.2816639)",St. Peter's Place,yes,,,
316573936,False,2,A290,primary,20 mph,,True,65.926,"LINESTRING (1.0760459 51.2812573, 1.0760473 51.2812078, 1.0760235 51.2811636, 1.0759166 51.2810684, 1.0757216 51.2809021, 1.0756163 51.2808201, 1.0755659 51.2807789, 1.0755493 51.2807653)",St. Peter's Place,,,,
222616094,True,2,,primary,40 mph,roundabout,False,24.287,"LINESTRING (1.0735412 51.2789825, 1.0736059 51.278922, 1.0736378 51.278852, 1.073634 51.2787792)",,,,,
4684640,True,1,,residential,20 mph,,False,18.865,"LINESTRING (1.073634 51.2787792, 1.0737564 51.2786278)",Old Watling Street,,,,
222616094,True,2,,primary,40 mph,roundabout,False,16.345,"LINESTRING (1.073634 51.2787792, 1.0735942 51.2787101, 1.0735221 51.278652)",,,,,
4079440,False,2,A28,trunk,30 mph,,True,80.769,"LINESTRING (1.0854804 51.2811735, 1.085473 51.2811157, 1.0855088 51.2810303, 1.0855769 51.2809083, 1.0856557 51.2807772, 1.0857391 51.2806147, 1.0858083 51.2804814)",Broad Street,,,,
168611035,False,2,A28,trunk,30 mph,,True,85.449,"LINESTRING (1.0854804 51.2811735, 1.0855974 51.2812397, 1.0860946 51.2814822, 1.0862722 51.2815589, 1.0864569 51.2816387)",Military Road,,,,
"[632410528, 4079441]",True,,,residential,20 mph,,False,44.79,"LINESTRING (1.0849891 51.2813427, 1.0852862 51.2811587, 1.0853231 51.2811329, 1.0854079 51.2811509, 1.0854804 51.2811735)",Broad Street,,,,
4476186,False,,,residential,20 mph,,False,76.07,"LINESTRING (1.0849891 51.2813427, 1.0854145 51.2815451, 1.085856 51.2817598)",Albion Place,,,,
4079440,False,2,A28,trunk,30 mph,,False,80.769,"LINESTRING (1.0858083 51.2804814, 1.0857391 51.2806147, 1.0856557 51.2807772, 1.0855769 51.2809083, 1.0855088 51.2810303, 1.085473 51.2811157, 1.0854804 51.2811735)",Broad Street,,,,
4079440,False,2,A28,trunk,30 mph,,True,117.563,"LINESTRING (1.0858083 51.2804814, 1.0859057 51.2803057, 1.0859511 51.2802161, 1.0859787 51.2801667, 1.0860059 51.2800546, 1.0860188 51.2799486, 1.0860169 51.2798729, 1.0859976 51.2796863, 1.0859579 51.2795717, 1.0859046 51.2794509)",Broad Street,,,,
1099488540,True,2,A28,trunk,30 mph,roundabout,False,13.396999999999998,"LINESTRING (1.0837474 51.2770379, 1.0838053 51.2770554, 1.0838684 51.2770626, 1.0839323 51.2770591)",,,,,
192954700,True,2,A28,trunk,30 mph,roundabout,False,20.174,"LINESTRING (1.0836456 51.276879, 1.0836403 51.2769242, 1.0836568 51.2769684, 1.0836937 51.2770075, 1.0837474 51.2770379)",,,,,
1099488543,True,2,A28,trunk,30 mph,roundabout,False,19.69,"LINESTRING (1.0838408 51.2767643, 1.0837734 51.2767778, 1.0837153 51.276803, 1.0836714 51.2768378, 1.0836456 51.276879)",,,,,
"[1101029051, 4476020]",True,2,A28,trunk,30 mph,,False,56.171,"LINESTRING (1.0838408 51.2767643, 1.0836647 51.276702, 1.083524 51.2766518, 1.0831847 51.2764734)",Upper Bridge Street,,,,
4476027,True,2,A2050,primary,30 mph,,False,170.228,"LINESTRING (1.0841106 51.2768709, 1.084153 51.2768332, 1.0842319 51.2767692, 1.0844081 51.2766744, 1.0850607 51.2763476, 1.0852718 51.276236, 1.0853157 51.2762141, 1.0854045 51.2761698, 1.0855043 51.2761201, 1.0856754 51.2760335, 1.0858215 51.2759601, 1.0859752 51.2758852)",St. George's Place,,,,
"[1099488541, 1099949311]",True,2,A28,trunk,30 mph,roundabout,False,15.866999999999999,"LINESTRING (1.0841106 51.2768709, 1.0840783 51.2768279, 1.084026 51.2767933, 1.0839591 51.2767707)",,,,,
116503940,False,2,A28,trunk,30 mph,,False,8.11,"LINESTRING (1.0847103 51.2779113, 1.0847696 51.2779741)",Lower Bridge Street,,,,
"[116503939, 1209369588]",True,2,A28,trunk,30 mph,,False,114.587,"LINESTRING (1.0847103 51.2779113, 1.0846237 51.2777169, 1.0841972 51.2772569, 1.0841687 51.2772262, 1.0841033 51.2771332, 1.0840994 51.2769734)",Lower Bridge Street,,,,
"[1184149953, 1184149823]",False,,,residential,"['20 mph', '30 mph']",,False,16.823,"LINESTRING (1.0867373 51.2791218, 1.0867023 51.279032, 1.0866776 51.2789752)",Monastery Street,,,,
"[1184149953, 1184150021, 1184150098, 4476178, 1184149982]",False,,,residential,30 mph,,True,145.178,"LINESTRING (1.0867373 51.2791218, 1.086773 51.2792022, 1.0868125 51.2792802, 1.0868337 51.2793221, 1.0868687 51.2793912, 1.0868978 51.2794486, 1.0869527 51.2795833, 1.0869591 51.2796403, 1.0869665 51.2797052, 1.0869524 51.2798307, 1.0869015 51.279961, 1.0868044 51.2801833, 1.0867151 51.2803879)",Monastery Street,,,,
4439858,True,1,A28,trunk,30 mph,,False,46.991,"LINESTRING (1.0857389 51.2791389, 1.0855985 51.2789364, 1.0855544 51.278903, 1.0854199 51.2787686)",Broad Street,,,,
127959220,False,,,residential,30 mph,,False,49.928000000000004,"LINESTRING (1.0860466 51.2802262, 1.0862093 51.2802631, 1.0863127 51.2802845, 1.0863389 51.2802899, 1.0866116 51.2803684, 1.0867151 51.2803879)",Havelock Street,,,,
4079439,True,2,A28,trunk,30 mph,roundabout,False,13.274000000000001,"LINESTRING (1.0870195 51.2843725, 1.0870422 51.2844097, 1.0870801 51.2844416, 1.0871303 51.2844661)",,,,,
1132058369,True,3,A28,trunk,30 mph,roundabout,False,10.298,"LINESTRING (1.0873128 51.2841983, 1.0872393 51.2841926, 1.0871667 51.2842016)",,,,,
4452669,False,2,B2248,secondary,20 mph,,True,65.676,"LINESTRING (1.0784737 51.2845086, 1.0785327 51.2843611, 1.0786163 51.2841622, 1.0786729 51.2840937, 1.0788328 51.2839742)",Station Road West,,,,
606257350,False,,,residential,20 mph,,False,45.539,"LINESTRING (1.0762243 51.2842316, 1.0764907 51.2840884, 1.0767208 51.2839646)",Kirby's Lane,,,,
"[1183347042, 31752656, 1183964884, 851008348, 851008349]",False,2,B2248,secondary,20 mph,,False,259.783,"LINESTRING (1.0762243 51.2842316, 1.0761472 51.2841774, 1.0760069 51.284079, 1.0757482 51.2838721, 1.0755324 51.2836762, 1.07526 51.2833727, 1.0752055 51.2833251, 1.0746604 51.2828493, 1.0745429 51.2827467, 1.0744252 51.2826362, 1.0741837 51.2823681, 1.0741085 51.2823127)",Station Road West,,,,
1215578290,False,2,A290,primary,20 mph,,True,32.047,"LINESTRING (1.0744228 51.2821606, 1.074773 51.2819733)",St. Dunstan's Street,,,,
4228005,False,,,residential,20 mph,,True,92.374,"LINESTRING (1.0744228 51.2821606, 1.0744791 51.2822153, 1.0746697 51.2823813, 1.074883 51.2825708, 1.0750332 51.2827042, 1.0751692 51.2828472)",Kirby's Lane,,,,
4412639,False,2,A290,primary,20 mph,,False,27.645,"LINESTRING (1.0744228 51.2821606, 1.0743135 51.2822103, 1.0741085 51.2823127)",St. Dunstan's Street,,,,
1215578290,False,2,A290,primary,20 mph,,False,32.047,"LINESTRING (1.074773 51.2819733, 1.0744228 51.2821606)",St. Dunstan's Street,,,,
4414265,False,,,residential,20 mph,,False,81.951,"LINESTRING (1.074773 51.2819733, 1.0744784 51.2817417, 1.0742475 51.2815461, 1.074043 51.2813951)",Linden Grove,,,,
31752693,False,2,A290,primary,20 mph,,True,61.753,"LINESTRING (1.074773 51.2819733, 1.0753001 51.2817218, 1.0755051 51.2816639)",St. Dunstan's Street,,,,
4479969,False,,,residential,20 mph,,True,8.754,"LINESTRING (1.0767208 51.2839646, 1.0768305 51.2840032)",Kirby's Lane,,,,
"[606257349, 4228005]",False,,,residential,20 mph,,False,87.887,"LINESTRING (1.0767208 51.2839646, 1.0765311 51.2838444, 1.0762453 51.2836632, 1.0761182 51.2835826, 1.0758332 51.283402)",Kirby's Lane,,,,
606257350,False,,,residential,20 mph,,True,45.539,"LINESTRING (1.0767208 51.2839646, 1.0764907 51.2840884, 1.0762243 51.2842316)",Kirby's Lane,,,,
4228004,False,,,residential,20 mph,,False,47.135,"LINESTRING (1.0758332 51.283402, 1.0763458 51.2831247)",Carriage Mews,,,,
4228005,False,,,residential,20 mph,,False,77.143,"LINESTRING (1.0758332 51.283402, 1.0756181 51.2832467, 1.075377 51.2830322, 1.0751692 51.2828472)",Kirby's Lane,,,,
"[606257349, 4228005]",False,,,residential,20 mph,,True,87.887,"LINESTRING (1.0758332 51.283402, 1.0761182 51.2835826, 1.0762453 51.2836632, 1.0765311 51.2838444, 1.0767208 51.2839646)",Kirby's Lane,,,,
4228026,False,,,residential,20 mph,,False,32.814,"LINESTRING (1.0751692 51.2828472, 1.0755512 51.282674)",Becket Mews,,,,
4228005,False,,,residential,20 mph,,False,92.37399999999998,"LINESTRING (1.0751692 51.2828472, 1.0750332 51.2827042, 1.074883 51.2825708, 1.0746697 51.2823813, 1.0744791 51.2822153, 1.0744228 51.2821606)",Kirby's Lane,,,,
4228005,False,,,residential,20 mph,,True,77.143,"LINESTRING (1.0751692 51.2828472, 1.075377 51.2830322, 1.0756181 51.2832467, 1.0758332 51.283402)",Kirby's Lane,,,,
4228004,False,,,residential,20 mph,,True,47.135,"LINESTRING (1.0763458 51.2831247, 1.0758332 51.283402)",Carriage Mews,,,,
4479957,False,,,residential,20 mph,,False,15.169,"LINESTRING (1.0763458 51.2831247, 1.0762136 51.2830162)",Carriage Mews,,,,
4228004,False,,,residential,20 mph,,False,73.16199999999999,"LINESTRING (1.0763458 51.2831247, 1.0764859 51.2831599, 1.0767296 51.2833341, 1.0770381 51.2832111, 1.0771349 51.2832947)",Carriage Mews,,,,
4479957,False,,,residential,20 mph,,True,15.169,"LINESTRING (1.0762136 51.2830162, 1.0763458 51.2831247)",Carriage Mews,,,,
4228026,False,,,residential,20 mph,,False,10.086,"LINESTRING (1.0755512 51.282674, 1.07565 51.2826076)",Becket Mews,,,,
4228026,False,,,residential,20 mph,,True,32.814,"LINESTRING (1.0755512 51.282674, 1.0751692 51.2828472)",Becket Mews,,,,
120879758,False,,,residential,20 mph,,False,8.887,"LINESTRING (1.0755512 51.282674, 1.0756228 51.2827402)",Becket Mews,,,,
4228026,False,,,residential,20 mph,,True,10.086,"LINESTRING (1.07565 51.2826076, 1.0755512 51.282674)",Becket Mews,,,,
"[1184149823, 1184149814, 4313271]",False,,,residential,20 mph,,True,122.407,"LINESTRING (1.0862609 51.2779095, 1.0862858 51.2779831, 1.0862968 51.2780155, 1.0865189 51.2784434, 1.0865831 51.278581, 1.0866009 51.2786187, 1.0866288 51.2787234, 1.0866603 51.2789157, 1.0866776 51.2789752)",Monastery Street,,,,
4708370,False,,,residential,20 mph,,False,87.079,"LINESTRING (1.0862609 51.2779095, 1.0860621 51.2779275, 1.0852214 51.278056, 1.0850414 51.2780843)",Church Street,,,,
"[9666656, 1193290951, 1184149356, 301567629, 1184149332]",False,,,residential,20 mph,,False,31.848,"LINESTRING (1.0862609 51.2779095, 1.0862531 51.2778355, 1.0861995 51.2776955, 1.0862044 51.2776699, 1.0862107 51.2776366, 1.0862153 51.2776281)",Monastery Street,,,,
"[9666656, 1193290951, 1184149356, 301567629, 1184149332]",False,,,residential,20 mph,,True,31.848,"LINESTRING (1.0862153 51.2776281, 1.0862107 51.2776366, 1.0862044 51.2776699, 1.0861995 51.2776955, 1.0862531 51.2778355, 1.0862609 51.2779095)",Monastery Street,,,,
4476018,True,1,,unclassified,20 mph,,False,22.845,"LINESTRING (1.0809098 51.2756527, 1.0809132 51.2757155, 1.0808804 51.2757773, 1.0808334 51.275849)",Watling Street,,,,
"[1099488548, 1099488550]",True,2,A28,trunk,30 mph,roundabout,False,15.875999999999998,"LINESTRING (1.0809098 51.2756527, 1.0809441 51.2756952, 1.0809974 51.2757292, 1.0810647 51.2757513)",,,,,
1099488551,True,2,A28,trunk,30 mph,roundabout,False,15.338999999999999,"LINESTRING (1.0810647 51.2757513, 1.0811371 51.2757594, 1.08121 51.2757538, 1.0812771 51.275735)",,,,,
1208977553,True,2,A28,trunk,30 mph,roundabout,False,8.559,"LINESTRING (1.0813858 51.2756338, 1.0813895 51.2755954, 1.0813778 51.2755576)",,,,,
"[4414265, 4414266]",False,,,residential,20 mph,,True,137.502,"LINESTRING (1.0731483 51.2803439, 1.0735066 51.2806169, 1.0738839 51.2809649, 1.0739643 51.2810251, 1.0740301 51.2811304, 1.0740093 51.2812356, 1.0739952 51.2812909, 1.0740144 51.2813586, 1.074043 51.2813951)","['Whitehall Road', 'Linden Grove']",,,,
"[217831169, 157053407]",False,2,,residential,20 mph,,False,68.574,"LINESTRING (1.0747488 51.2812878, 1.0749872 51.2813837, 1.0754296 51.2815682, 1.0754687 51.2816125, 1.0755051 51.2816639)",Westgate Grove,,,,
"[632410520, 4419535, 1061359825, 1061359826, 592364948, 32898711, 32898712]",False,2,,unclassified,20 mph,,False,139.15400000000002,"LINESTRING (1.0791414 51.2826609, 1.0791326 51.2827687, 1.0791177 51.2828054, 1.0790969 51.2828276, 1.0790222 51.2829073, 1.078996 51.2829402, 1.0788208 51.2830531, 1.0787303 51.2831484, 1.0786653 51.2832995, 1.0786488 51.2834411, 1.0786517 51.2835353, 1.0786478 51.2835556, 1.0786323 51.2836375, 1.0786012 51.2836954, 1.0785801 51.2837347, 1.0784956 51.2838006)",The Causeway,yes,,,
168593243,False,,,unclassified,20 mph,,True,37.453,"LINESTRING (1.0791414 51.2826609, 1.0795621 51.2826392, 1.0796784 51.2826365)",Pound Lane,,,,
"[341475040, 1184139992]",False,,,residential,20 mph,,True,281.84900000000005,"LINESTRING (1.0791414 51.2826609, 1.078367 51.2826805, 1.0781637 51.2826864, 1.0780134 51.2826675, 1.0778821 51.2826354, 1.077805 51.28261, 1.077489 51.2824453, 1.0774416 51.2824151, 1.0770009 51.282186, 1.0768097 51.28207, 1.0766383 51.2819831, 1.0764928 51.2818981, 1.0763082 51.2817903, 1.0762302 51.2816959, 1.0761956 51.281654, 1.0760643 51.2815476, 1.0759627 51.2814699, 1.0759124 51.2814301)",Pound Lane,,,no,
"[120300025, 643122404, 120300021, 4437294]",False,,,unclassified,20 mph,,False,56.001000000000005,"LINESTRING (1.0804779 51.2825793, 1.0804068 51.2825861, 1.0803368 51.2825927, 1.0799486 51.2826253, 1.0798621 51.2826289, 1.0796784 51.2826365)","['Pound Lane', ""St Radigund's Street""]",yes,,,
4437294,False,,,unclassified,20 mph,,True,103.70400000000001,"LINESTRING (1.0804779 51.2825793, 1.0805637 51.2825752, 1.080709 51.2825697, 1.0808006 51.2825695, 1.0813842 51.2825703, 1.0815812 51.2825663, 1.0819682 51.2825602)",St Radigund's Street,,,,
4451964,False,,,residential,20 mph,,False,72.907,"LINESTRING (1.0804779 51.2825793, 1.0804416 51.2825166, 1.0803471 51.2823729, 1.0801288 51.2820636, 1.0800896 51.2819713)",Mill Lane,,,,
"[358793307, 226144772]",False,,,unclassified,20 mph,,False,124.88400000000001,"LINESTRING (1.0820466 51.2816596, 1.0821646 51.2816186, 1.0823042 51.2816009, 1.082403 51.2815979, 1.0824858 51.2816125, 1.0825497 51.2816568, 1.0828021 51.2818686, 1.0830434 51.282069, 1.0832275 51.2822163, 1.0833091 51.2822674)","['Northgate', 'Borough']",,,,
632410524,False,,,unclassified,20 mph,,True,14.855,"LINESTRING (1.0833091 51.2822674, 1.0834665 51.2823577)",Northgate,,,,
4411299,True,,,unclassified,20 mph,,False,43.732,"LINESTRING (1.0833091 51.2822674, 1.0830219 51.2824854, 1.0828809 51.2825525)",St Radigund's Street,,,,
"[358793307, 226144772]",False,,,unclassified,20 mph,,True,124.884,"LINESTRING (1.0833091 51.2822674, 1.0832275 51.2822163, 1.0830434 51.282069, 1.0828021 51.2818686, 1.0825497 51.2816568, 1.0824858 51.2816125, 1.082403 51.2815979, 1.0823042 51.2816009, 1.0821646 51.2816186, 1.0820466 51.2816596)","['Northgate', 'Borough']",,,,
4412474,True,2,,unclassified,30 mph,,False,22.164,"LINESTRING (1.0852407 51.2833431, 1.0855055 51.283454)",Northgate,,,,
4412470,False,,,unclassified,20 mph,,False,92.081,"LINESTRING (1.0852407 51.2833431, 1.0849894 51.2832274, 1.08454 51.2829969, 1.0843666 51.2828994, 1.0843336 51.282876, 1.0842265 51.2828124)",Northgate,,,,
4412468,True,1,,residential,30 mph,,False,12.65,"LINESTRING (1.0860122 51.2836737, 1.0860925 51.2836623, 1.0861858 51.2836406)",New Ruttington Lane,,,,
592364947,True,2,,unclassified,30 mph,,False,24.586000000000002,"LINESTRING (1.0860122 51.2836737, 1.0862202 51.2837639, 1.0863027 51.2837997)",Northgate,,,,
4411299,True,,,unclassified,20 mph,,False,52.25,"LINESTRING (1.0828809 51.2825525, 1.0821297 51.282558)",St Radigund's Street,,,,
"[4711232, 30071474]",False,,,residential,20 mph,,False,99.607,"LINESTRING (1.0828809 51.2825525, 1.082488 51.2828125, 1.0824113 51.2828642, 1.0823353 51.2829412, 1.0822882 51.2829789, 1.0822732 51.2830092, 1.0822855 51.2830357, 1.0825472 51.2832055, 1.0825849 51.28323)","['Duck Lane', ""St. Radigund's Place""]",,,,
4437259,False,,,unclassified,20 mph,,True,19.219,"LINESTRING (1.0815121 51.2817648, 1.0815959 51.2819295)",Knott's Lane,,,,
4437288,True,,,unclassified,20 mph,,False,30.281,"LINESTRING (1.0815121 51.2817648, 1.0817603 51.2817418, 1.0819303 51.281697)",King Street,,,,
16790454,False,,,residential,20 mph,,True,75.167,"LINESTRING (1.0815121 51.2817648, 1.0813716 51.2817673, 1.0812817 51.281758, 1.081238 51.2817474, 1.0812024 51.2817341, 1.081159 51.2816989, 1.0807693 51.281343)",King Street,,,,
4419357,True,1,,unclassified,30 mph,,False,60.646,"LINESTRING (1.0865411 51.2833953, 1.0859564 51.2830372, 1.0859057 51.2830262)",Union Place,,,,
4412469,True,2,,unclassified,30 mph,,False,38.609,"LINESTRING (1.0859057 51.2830262, 1.0858404 51.2830327, 1.0857954 51.283052, 1.0855059 51.2832546)",Union Street,,,,
23242346,False,,,residential,30 mph,,True,63.624,"LINESTRING (1.0859057 51.2830262, 1.0858735 51.2829676, 1.0857455 51.2828514, 1.08551 51.2826544, 1.0853921 51.2825558)",Victoria Row,,,,
116509359,False,2,,unclassified,30 mph,,True,52.605000000000004,"LINESTRING (1.0863027 51.2837997, 1.0865168 51.2839152, 1.0868637 51.2841169)",Northgate,,,,
359715103,True,1,,residential,30 mph,,False,19.731,"LINESTRING (1.0863027 51.2837997, 1.0862391 51.283737, 1.0861992 51.2836887, 1.0861858 51.2836406)",New Ruttington Lane,,,,
4417802,False,,,residential,20 mph,,False,95.218,"LINESTRING (1.0740636 51.276161, 1.0740744 51.2761552, 1.0743069 51.276031, 1.0745413 51.2759014, 1.0747447 51.2758018, 1.075008 51.2756782, 1.0750723 51.27565, 1.0751296 51.2756248)",Gas Street,,,,6.9
4417802,False,,,residential,20 mph,,True,95.21799999999999,"LINESTRING (1.0751296 51.2756248, 1.0750723 51.27565, 1.075008 51.2756782, 1.0747447 51.2758018, 1.0745413 51.2759014, 1.0743069 51.276031, 1.0740744 51.2761552, 1.0740636 51.276161)",Gas Street,,,,6.9
23463818,False,,,residential,20 mph,,False,105.08300000000001,"LINESTRING (1.0751296 51.2756248, 1.0753192 51.2757786, 1.0754714 51.275896, 1.0759677 51.2762899, 1.0760766 51.2763605)",Castle Street,,,,
4418331,False,,,unclassified,20 mph,,False,9.767,"LINESTRING (1.0784397 51.2775937, 1.0785146 51.2775194)",Watling Street,,,,
4417804,False,,,residential,20 mph,,True,75.34100000000001,"LINESTRING (1.0784397 51.2775937, 1.0781782 51.2775215, 1.0780337 51.2774732, 1.0779039 51.2774196, 1.0775262 51.2772364)",Castle Street,,,,
4452064,False,,,residential,20 mph,,False,110.993,"LINESTRING (1.0784397 51.2775937, 1.0783114 51.2776992, 1.0781482 51.2778106, 1.078111 51.277836, 1.0778307 51.2780204, 1.0778118 51.2780329, 1.0773511 51.2783223)",Beercart Lane,,,,
4418331,False,,,unclassified,20 mph,,True,9.767,"LINESTRING (1.0785146 51.2775194, 1.0784397 51.2775937)",Watling Street,,,,
4476015,False,,,unclassified,20 mph,,False,115.879,"LINESTRING (1.0785146 51.2775194, 1.0786362 51.2773691, 1.0787361 51.2771778, 1.0788622 51.2770414, 1.0790344 51.2768948, 1.0792748 51.2767745, 1.079481 51.2767192)",Watling Street,,,,
"[391919968, 4515521]",False,,,unclassified,20 mph,,"[False, True]",204.951,"LINESTRING (1.0785146 51.2775194, 1.0785496 51.2775343, 1.0793208 51.2778639, 1.0792609 51.2779043, 1.0791524 51.2779775, 1.0789519 51.2781039, 1.0788396 51.2781566, 1.0787373 51.2782063, 1.0784565 51.2783253, 1.0781446 51.2784523, 1.0779114 51.2785557, 1.0777696 51.2786152)","[""St. Margaret's Street"", ""Hawk's Lane""]",,,,
4437259,False,,,unclassified,20 mph,,False,75.181,"LINESTRING (1.0819682 51.2825602, 1.0819693 51.2825169, 1.0818353 51.282277, 1.0817749 51.2821719, 1.0815959 51.2819295)",Knott's Lane,,,,
4437294,False,,,unclassified,20 mph,,False,103.704,"LINESTRING (1.0819682 51.2825602, 1.0815812 51.2825663, 1.0813842 51.2825703, 1.0808006 51.2825695, 1.080709 51.2825697, 1.0805637 51.2825752, 1.0804779 51.2825793)",St Radigund's Street,,,,
4412739,True,,,unclassified,20 mph,,False,9.095,"LINESTRING (1.0819303 51.281697, 1.0820466 51.2816596)",King Street,,,,
4752532,False,,,residential,20 mph,,False,14.945,"LINESTRING (1.0819303 51.281697, 1.0820099 51.2818018, 1.0820225 51.2818184)",Cobden Place,,,,
4421549,False,,,unclassified,20 mph,,False,50.55200000000001,"LINESTRING (1.0755493 51.2807653, 1.0755933 51.2807448, 1.0757378 51.2806892, 1.0758997 51.2806366, 1.0759502 51.280624, 1.0759942 51.2806131, 1.0761895 51.2805523)",Tower Way,,,,
"[23412227, 156465723, 643124716, 643124715]",False,2,A290,primary,20 mph,,True,224.928,"LINESTRING (1.0755493 51.2807653, 1.0754748 51.2807239, 1.0749594 51.2803332, 1.0748326 51.2802347, 1.0741265 51.2797186, 1.0740929 51.2796927, 1.0740267 51.2796387, 1.0735017 51.2792015)",St. Peter's Place,,,,
316573936,False,2,A290,primary,20 mph,,False,65.926,"LINESTRING (1.0755493 51.2807653, 1.0755659 51.2807789, 1.0756163 51.2808201, 1.0757216 51.2809021, 1.0759166 51.2810684, 1.0760235 51.2811636, 1.0760473 51.2812078, 1.0760459 51.2812573)",St. Peter's Place,,,,
4421549,False,,,unclassified,20 mph,,False,57.146,"LINESTRING (1.0761895 51.2805523, 1.0765022 51.2804762, 1.0765269 51.2804646, 1.0766929 51.2803865, 1.0767831 51.2803332, 1.0768361 51.2802635)",Tower Way,,,,
