osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,name
1236166167,2,B4275,secondary,20 mph,True,False,38.225,"LINESTRING (-3.3266634 51.6414846, -3.3267559 51.6413849, -3.3268138 51.6413099, -3.3268313 51.6412741, -3.326846 51.6412308, -3.3268402 51.641167)",,,
40067766,1,,trunk_link,,True,False,318.35800000000006,"LINESTRING (-3.3228627 51.6431475, -3.3219422 51.6437451, -3.321835 51.6438482, -3.3217829 51.643949, -3.3217814 51.6440725, -3.3218169 51.6441617, -3.3219142 51.6442421, -3.32205 51.6443098, -3.3221926 51.6443404, -3.3223561 51.6443494, -3.3225563 51.644315, -3.3227196 51.6442506, -3.323449 51.6438285, -3.3238597 51.6436343)",,,
"[139160888, 948638627, 948638628]","['2', '3']",A4054,primary,40 mph,False,False,140.555,"LINESTRING (-3.3228627 51.6431475, -3.3231067 51.6429912, -3.3232116 51.6429241, -3.3242803 51.6422398)",,,
24812875,2,,residential,30 mph,False,True,101.203,"LINESTRING (-3.3327575 51.642967, -3.3328825 51.6429389, -3.3332807 51.6426956, -3.3338328 51.6423582)",,,Aberdare Road
102572701,,,tertiary,,False,True,182.711,"LINESTRING (-3.3327575 51.642967, -3.3328107 51.6428674, -3.332839 51.6427678, -3.3329805 51.6413334)",,,Park Street
120451917,2,,tertiary,30 mph,False,False,64.415,"LINESTRING (-3.3327575 51.642967, -3.3326603 51.6430672, -3.3323735 51.643247, -3.3323497 51.6432619, -3.3321362 51.6433958)",,,Aberdare Road
27203947,2,B4275,secondary,20 mph,False,False,33.861000000000004,"LINESTRING (-3.3299448 51.6469162, -3.3299235 51.6468708, -3.3298745 51.6468391, -3.3296125 51.646701)",,,Ynysmeurig Road
120451916,2,,tertiary,30 mph,False,True,140.069,"LINESTRING (-3.3299448 51.6469162, -3.3300229 51.646877, -3.3303397 51.646647, -3.330783 51.6464049, -3.331334 51.6460021)",,,Mountain Ash Road
102572701,,,tertiary,,False,False,18.318,"LINESTRING (-3.3330662 51.6402378, -3.3330771 51.6404024)",,,Park Street
"[40141544, 40141543]",2,,residential,30 mph,False,False,307.24699999999996,"LINESTRING (-3.3330662 51.6402378, -3.3331413 51.6401626, -3.3331951 51.6396341, -3.3332306 51.6395639, -3.3332855 51.6394989, -3.3339811 51.6391125, -3.3341023 51.6391199, -3.3341475 51.6391939, -3.3341074 51.6395637, -3.3340106 51.6404551)",,,"['Taff Terrace', 'Cardiff Road']"
"[40628867, 40628868]",2,,residential,30 mph,False,True,122.818,"LINESTRING (-3.3252778 51.6467953, -3.3260851 51.6465036, -3.3261176 51.6464749, -3.3261143 51.6464295, -3.325858 51.6460146)",,,"['Gwendoline Terrace', 'Imperial Court']"
"[549590858, 256133245, 256133247]",,B4275,secondary,20 mph,False,False,146.651,"LINESTRING (-3.3252778 51.6467953, -3.3252248 51.6466775, -3.3252108 51.6465694, -3.3251867 51.6464318, -3.325167 51.6463194, -3.3251656 51.6462067, -3.3251252 51.6461327, -3.3249474 51.6460177, -3.3245639 51.6457535, -3.3244731 51.6456354)",yes,,
"[549590857, 549590858, 187777295]",2,B4275,secondary,20 mph,False,True,114.84800000000001,"LINESTRING (-3.3252778 51.6467953, -3.3253611 51.6468727, -3.3255155 51.6469308, -3.3256077 51.6469502, -3.3257593 51.6469223, -3.3259324 51.6468634, -3.3262102 51.646769, -3.326641 51.6466528, -3.3267172 51.646618)",yes,,
"[97668801, 97668803]",2,B4275,secondary,20 mph,False,True,168.007,"LINESTRING (-3.3267172 51.646618, -3.3267234 51.6465534, -3.3265943 51.6462194, -3.3265064 51.6460066, -3.3264418 51.6458565, -3.3264431 51.6456132, -3.3264715 51.6455472, -3.3265504 51.645503, -3.3266797 51.6455037, -3.326949 51.6455189, -3.3271079 51.6455454)",,,
"[549590857, 549590858, 187777295]",2,B4275,secondary,20 mph,False,False,114.848,"LINESTRING (-3.3267172 51.646618, -3.326641 51.6466528, -3.3262102 51.646769, -3.3259324 51.6468634, -3.3257593 51.6469223, -3.3256077 51.6469502, -3.3255155 51.6469308, -3.3253611 51.6468727, -3.3252778 51.6467953)",yes,,
549597472,2,B4275,secondary,20 mph,True,False,74.347,"LINESTRING (-3.3285224 51.6461471, -3.3283456 51.6460621, -3.327663 51.6457438)",,,Ynysmeurig Road
27203948,,B4275,secondary,20 mph,True,False,105.057,"LINESTRING (-3.3291194 51.6455468, -3.3303212 51.6461269)",,,Margaret Street
27203949,2,B4275,secondary,20 mph,True,False,78.44,"LINESTRING (-3.3291194 51.6455468, -3.3289088 51.6457535, -3.3287392 51.6459287, -3.3285224 51.6461471)",,,Walter Street
27203951,2,,residential,30 mph,False,True,53.793,"LINESTRING (-3.3291194 51.6455468, -3.3293569 51.6453534, -3.3295919 51.645162)",,,Walter Street
39975650,2,B4275,secondary,20 mph,False,False,80.413,"LINESTRING (-3.3303212 51.6461269, -3.3296125 51.646701)",,,Edward Street
27203950,2,,residential,30 mph,False,True,54.601,"LINESTRING (-3.3303212 51.6461269, -3.3305724 51.6459128, -3.3307869 51.6457299)",,,Edward Street
23862864,2,,residential,30 mph,False,False,103.857,"LINESTRING (-3.3307869 51.6457299, -3.3295919 51.645162)",,,Herbert Street
23862864,2,,residential,30 mph,False,True,48.385,"LINESTRING (-3.3307869 51.6457299, -3.331334 51.6460021)",,,Herbert Street
27203950,2,,residential,30 mph,False,False,54.601,"LINESTRING (-3.3307869 51.6457299, -3.3305724 51.6459128, -3.3303212 51.6461269)",,,Edward Street
23862864,2,,residential,30 mph,False,False,48.385,"LINESTRING (-3.331334 51.6460021, -3.3307869 51.6457299)",,,Herbert Street
120451916,2,,tertiary,30 mph,False,False,140.06900000000002,"LINESTRING (-3.331334 51.6460021, -3.330783 51.6464049, -3.3303397 51.646647, -3.3300229 51.646877, -3.3299448 51.6469162)",,,Mountain Ash Road
120451916,2,,tertiary,30 mph,False,True,60.643,"LINESTRING (-3.331334 51.6460021, -3.3314565 51.6458695, -3.3315084 51.6456951, -3.3315185 51.64548)",,,Mountain Ash Road
23862864,2,,residential,30 mph,False,True,103.857,"LINESTRING (-3.3295919 51.645162, -3.3307869 51.6457299)",,,Herbert Street
39975659,2,,residential,30 mph,False,False,139.315,"LINESTRING (-3.3295919 51.645162, -3.327986 51.6444026)",,,Herbert Street
27203951,2,,residential,30 mph,False,False,53.793,"LINESTRING (-3.3295919 51.645162, -3.3293569 51.6453534, -3.3291194 51.6455468)",,,Walter Street
27203951,2,,residential,30 mph,False,True,53.09,"LINESTRING (-3.3295919 51.645162, -3.3298196 51.6449712, -3.3300498 51.6447783)",,,Walter Street
39975653,,,residential,20 mph,True,False,92.731,"LINESTRING (-3.3271079 51.6455454, -3.3271729 51.6454009, -3.327189 51.6453554, -3.3272745 51.6451142, -3.3273012 51.645039, -3.327362 51.6449087, -3.3274118 51.6448507, -3.3274968 51.6447519)",,,Station Road
"[97668801, 97668803]",2,B4275,secondary,20 mph,False,False,168.007,"LINESTRING (-3.3271079 51.6455454, -3.326949 51.6455189, -3.3266797 51.6455037, -3.3265504 51.645503, -3.3264715 51.6455472, -3.3264431 51.6456132, -3.3264418 51.6458565, -3.3265064 51.6460066, -3.3265943 51.6462194, -3.3267234 51.6465534, -3.3267172 51.646618)",,,
39975650,2,B4275,secondary,20 mph,False,True,80.413,"LINESTRING (-3.3296125 51.646701, -3.3303212 51.6461269)",,,Edward Street
549597487,,B4275,secondary,20 mph,True,False,29.444,"LINESTRING (-3.3296125 51.646701, -3.3292786 51.6465361)",,,Ynysmeurig Road
27203947,2,B4275,secondary,20 mph,False,True,33.861000000000004,"LINESTRING (-3.3296125 51.646701, -3.3298745 51.6468391, -3.3299235 51.6468708, -3.3299448 51.6469162)",,,Ynysmeurig Road
39975659,2,,residential,30 mph,False,True,139.315,"LINESTRING (-3.327986 51.6444026, -3.3295919 51.645162)",,,Herbert Street
39975662,2,,residential,30 mph,False,False,53.963,"LINESTRING (-3.327986 51.6444026, -3.3282385 51.6442291, -3.3285101 51.6440424)",,,Station Road
39975662,2,,residential,30 mph,False,True,51.46,"LINESTRING (-3.327986 51.6444026, -3.3277424 51.644579, -3.3274968 51.6447519)",,,Station Road
40006016,2,,residential,30 mph,False,True,134.101,"LINESTRING (-3.3300498 51.6447783, -3.3285101 51.6440424)",,,Gertrude Street
120399481,2,,residential,30 mph,False,False,50.659,"LINESTRING (-3.3300498 51.6447783, -3.3306327 51.6450553)",,,Upper Gertrude Street
27203951,2,,residential,30 mph,False,False,53.09,"LINESTRING (-3.3300498 51.6447783, -3.3298196 51.6449712, -3.3295919 51.645162)",,,Walter Street
"[40006009, 40006010]",2,,residential,30 mph,False,True,168.917,"LINESTRING (-3.3300498 51.6447783, -3.3303021 51.6445798, -3.330255 51.6442651, -3.3290599 51.643671)",,,William Street
39975662,2,,residential,30 mph,False,False,35.587,"LINESTRING (-3.3290599 51.643671, -3.3293239 51.643486, -3.3294018 51.6434314)",,,Station Road
39975662,2,,residential,30 mph,False,True,56.078,"LINESTRING (-3.3290599 51.643671, -3.3287717 51.6438657, -3.3285101 51.6440424)",,,Station Road
"[40006009, 40006010]",2,,residential,30 mph,False,False,168.917,"LINESTRING (-3.3290599 51.643671, -3.330255 51.6442651, -3.3303021 51.6445798, -3.3300498 51.6447783)",,,William Street
40006011,2,,residential,30 mph,False,True,77.422,"LINESTRING (-3.3302345 51.6438919, -3.329671 51.6436235, -3.3294883 51.6434786, -3.3294018 51.6434314)",,,David Dower Close
"[39975662, 40006015]",2,,residential,30 mph,False,"[False, True]",86.13999999999999,"LINESTRING (-3.3303498 51.6433634, -3.329944 51.6431512, -3.3298651 51.6431595, -3.3294018 51.6434314)",,,"['Wood Road', 'Station Road']"
40006016,2,,residential,30 mph,False,False,134.101,"LINESTRING (-3.3285101 51.6440424, -3.3300498 51.6447783)",,,Gertrude Street
39975662,2,,residential,30 mph,False,False,56.078,"LINESTRING (-3.3285101 51.6440424, -3.3287717 51.6438657, -3.3290599 51.643671)",,,Station Road
39975662,2,,residential,30 mph,False,True,53.963,"LINESTRING (-3.3285101 51.6440424, -3.3282385 51.6442291, -3.327986 51.6444026)",,,Station Road
120399481,2,,residential,30 mph,False,True,50.659,"LINESTRING (-3.3306327 51.6450553, -3.3300498 51.6447783)",,,Upper Gertrude Street
40035162,2,,residential,30 mph,False,False,51.814,"LINESTRING (-3.3309967 51.6437809, -3.3317402 51.6438462)",,,South Street
40035162,2,,residential,30 mph,False,True,51.814,"LINESTRING (-3.3317402 51.6438462, -3.3309967 51.6437809)",,,South Street
120451917,2,,tertiary,30 mph,False,False,53.922,"LINESTRING (-3.3317402 51.6438462, -3.3316919 51.6440833, -3.3316421 51.6443273)",,,Aberdare Road
120451917,2,,tertiary,30 mph,False,True,57.888000000000005,"LINESTRING (-3.3317402 51.6438462, -3.3317959 51.6437154, -3.3318718 51.6436211, -3.3319439 51.6435391, -3.3321362 51.6433958)",,,Aberdare Road
40035163,2,,residential,30 mph,False,False,35.623,"LINESTRING (-3.3323506 51.6446385, -3.3319426 51.6444422)",,,Elizabeth Street
40035170,2,,residential,30 mph,False,True,53.808,"LINESTRING (-3.3316421 51.6443273, -3.3308696 51.6442612)",,,New Street
40035163,2,,residential,30 mph,False,True,24.796,"LINESTRING (-3.3316421 51.6443273, -3.331763 51.6443501, -3.3319426 51.6444422)",,,Elizabeth Street
120451917,2,,tertiary,30 mph,False,False,61.784,"LINESTRING (-3.3316421 51.6443273, -3.33161 51.6445201, -3.3315958 51.6445772, -3.3315876 51.6446104, -3.3315213 51.6448777)",,,Aberdare Road
120451917,2,,tertiary,30 mph,False,True,53.922,"LINESTRING (-3.3316421 51.6443273, -3.3316919 51.6440833, -3.3317402 51.6438462)",,,Aberdare Road
40035168,2,,residential,30 mph,False,True,28.517,"LINESTRING (-3.3315213 51.6448777, -3.3311096 51.6448552)",,,Wesley Street
40035167,2,,residential,30 mph,False,True,141.225,"LINESTRING (-3.3315213 51.6448777, -3.3319294 51.6450604, -3.3324399 51.645289, -3.3324985 51.6453465, -3.3323623 51.6455632, -3.3322062 51.6458115)",,,Ann Street
120451916,2,,tertiary,30 mph,False,False,67.14699999999999,"LINESTRING (-3.3315213 51.6448777, -3.3314915 51.6450127, -3.3315185 51.64548)",,,Mountain Ash Road
120451917,2,,tertiary,30 mph,False,True,61.784000000000006,"LINESTRING (-3.3315213 51.6448777, -3.3315876 51.6446104, -3.3315958 51.6445772, -3.33161 51.6445201, -3.3316421 51.6443273)",,,Aberdare Road
40035164,2,,residential,30 mph,False,False,198.485,"LINESTRING (-3.3303842 51.6471917, -3.3321527 51.6458687, -3.3322062 51.6458115)",,,Plantation Road
40035164,2,,residential,30 mph,False,True,198.485,"LINESTRING (-3.3322062 51.6458115, -3.3321527 51.6458687, -3.3303842 51.6471917)",,,Plantation Road
40035166,2,,residential,30 mph,False,True,60.089999999999996,"LINESTRING (-3.3322062 51.6458115, -3.3321397 51.6457772, -3.3315185 51.64548)",,,Well Street
40035167,2,,residential,30 mph,False,False,141.225,"LINESTRING (-3.3322062 51.6458115, -3.3323623 51.6455632, -3.3324985 51.6453465, -3.3324399 51.645289, -3.3319294 51.6450604, -3.3315213 51.6448777)",,,Ann Street
40035168,2,,residential,30 mph,False,False,28.517,"LINESTRING (-3.3311096 51.6448552, -3.3315213 51.6448777)",,,Wesley Street
40035170,2,,residential,30 mph,False,False,53.808,"LINESTRING (-3.3308696 51.6442612, -3.3316421 51.6443273)",,,New Street
40035171,2,,residential,30 mph,False,False,25.906,"LINESTRING (-3.3350278 51.6424441, -3.3347468 51.6425986)",,,Salisbury Road
40035163,2,,residential,30 mph,False,True,35.623,"LINESTRING (-3.3319426 51.6444422, -3.3323506 51.6446385)",,,Elizabeth Street
40035163,2,,residential,30 mph,False,False,24.796,"LINESTRING (-3.3319426 51.6444422, -3.331763 51.6443501, -3.3316421 51.6443273)",,,Elizabeth Street
"[40035171, 120451915]",2,,residential,30 mph,False,True,282.715,"LINESTRING (-3.3319426 51.6444422, -3.332739 51.6437909, -3.3342353 51.6428797, -3.3347468 51.6425986)",,,"['Salisbury Road', 'Bradley Street']"
"[40035172, 40141542]",2,,residential,30 mph,False,True,311.92300000000006,"LINESTRING (-3.3321362 51.6433958, -3.3312911 51.6430748, -3.3312771 51.6429888, -3.3313262 51.6425774, -3.3313769 51.6425045, -3.3320209 51.6420536, -3.3322452 51.6419304, -3.3323658 51.6418036, -3.3324601 51.6416293, -3.3325887 51.6414492, -3.3326891 51.6413573, -3.3327864 51.6413363, -3.3329805 51.6413334)",,,"['Nash Street', 'Tressilian Place']"
120451917,2,,tertiary,30 mph,False,False,57.888000000000005,"LINESTRING (-3.3321362 51.6433958, -3.3319439 51.6435391, -3.3318718 51.6436211, -3.3317959 51.6437154, -3.3317402 51.6438462)",,,Aberdare Road
120451917,2,,tertiary,30 mph,False,True,64.415,"LINESTRING (-3.3321362 51.6433958, -3.3323497 51.6432619, -3.3323735 51.643247, -3.3326603 51.6430672, -3.3327575 51.642967)",,,Aberdare Road
"[40035173, 53350014]",2,,residential,30 mph,False,False,225.182,"LINESTRING (-3.3263446 51.6430371, -3.3262821 51.6431676, -3.3261168 51.6435123, -3.3258154 51.6441051, -3.3255453 51.6444667, -3.3254137 51.6445273, -3.3251949 51.6445735, -3.3250978 51.6445843, -3.324776 51.6446199)",,,"['River Court', ""Martin's Terrace""]"
33786508,2,B4275,secondary,20 mph,False,True,118.34899999999999,"LINESTRING (-3.324776 51.6446199, -3.3247662 51.6446969, -3.3247244 51.6448002, -3.3247177 51.6448095, -3.3245569 51.6450329, -3.3244759 51.6451309, -3.3244297 51.6452307, -3.3243971 51.6453934, -3.3244121 51.6455057, -3.3244731 51.6456354)",,,
"[40035173, 53350014]",2,,residential,30 mph,False,True,225.18200000000002,"LINESTRING (-3.324776 51.6446199, -3.3250978 51.6445843, -3.3251949 51.6445735, -3.3254137 51.6445273, -3.3255453 51.6444667, -3.3258154 51.6441051, -3.3261168 51.6435123, -3.3262821 51.6431676, -3.3263446 51.6430371)",,,"['River Court', ""Martin's Terrace""]"
111294105,2,B4275,secondary,20 mph,False,False,150.85,"LINESTRING (-3.324776 51.6446199, -3.324806 51.6442611, -3.3248362 51.6440788, -3.3249094 51.6438649, -3.3250239 51.6436183, -3.3252104 51.6432999)",,,
39975656,2,,residential,20 mph,True,False,69.335,"LINESTRING (-3.3283287 51.645162, -3.3291194 51.6455468)",,,Margaret Street
"[39975662, 40006015]",2,,residential,30 mph,False,"[False, True]",86.13999999999999,"LINESTRING (-3.3294018 51.6434314, -3.3298651 51.6431595, -3.329944 51.6431512, -3.3303498 51.6433634)",,,"['Wood Road', 'Station Road']"
39975662,2,,residential,30 mph,False,True,35.587,"LINESTRING (-3.3294018 51.6434314, -3.3293239 51.643486, -3.3290599 51.643671)",,,Station Road
40006011,2,,residential,30 mph,False,False,77.422,"LINESTRING (-3.3294018 51.6434314, -3.3294883 51.6434786, -3.329671 51.6436235, -3.3302345 51.6438919)",,,David Dower Close
1236166162,,,unclassified,,False,True,14.479,"LINESTRING (-3.328358 51.6396242, -3.3281565 51.6396605)",,,
1236166161,,,unclassified,,False,False,214.00400000000002,"LINESTRING (-3.328358 51.6396242, -3.3284258 51.6397236, -3.3285275 51.6398288, -3.3287918 51.640069, -3.3288263 51.6401003, -3.3289249 51.640259, -3.3289865 51.640389, -3.3290019 51.6405037, -3.3289989 51.6406108, -3.3289603 51.6407779, -3.328871 51.640927, -3.3287493 51.6410733, -3.3286507 51.6411641, -3.3285783 51.641209, -3.3284658 51.641254, -3.3283272 51.641276)",,,
1236166161,,,unclassified,,False,True,14.805,"LINESTRING (-3.328358 51.6396242, -3.3283459 51.6395976, -3.3282995 51.6394961)",,,
40127064,,,unclassified,,False,True,183.89900000000003,"LINESTRING (-3.3268771 51.6425452, -3.3269079 51.6425025, -3.3269508 51.6424649, -3.327026 51.6424138, -3.3271933 51.6423172, -3.3275592 51.6421059, -3.3277502 51.6420048, -3.3278881 51.6419318, -3.3279852 51.6418706, -3.3281408 51.6417817, -3.3282425 51.6417167, -3.3283179 51.6416536, -3.3283526 51.6415916, -3.328377 51.6415135, -3.3283688 51.6414136, -3.3283488 51.6413486, -3.3283364 51.6413046, -3.3283272 51.641276)",,,
40035166,2,,residential,30 mph,False,False,60.089999999999996,"LINESTRING (-3.3315185 51.64548, -3.3321397 51.6457772, -3.3322062 51.6458115)",,,Well Street
120451916,2,,tertiary,30 mph,False,False,60.643,"LINESTRING (-3.3315185 51.64548, -3.3315084 51.6456951, -3.3314565 51.6458695, -3.331334 51.6460021)",,,Mountain Ash Road
120451916,2,,tertiary,30 mph,False,True,67.14699999999999,"LINESTRING (-3.3315185 51.64548, -3.3314915 51.6450127, -3.3315213 51.6448777)",,,Mountain Ash Road
40035171,2,,residential,30 mph,False,True,25.906,"LINESTRING (-3.3347468 51.6425986, -3.3350278 51.6424441)",,,Salisbury Road
40141547,2,,residential,30 mph,False,False,42.749,"LINESTRING (-3.3347468 51.6425986, -3.3347641 51.6422143)",,,Littlewoods
"[120451915, 40035171]",2,,residential,30 mph,False,False,282.71500000000003,"LINESTRING (-3.3347468 51.6425986, -3.3342353 51.6428797, -3.332739 51.6437909, -3.3319426 51.6444422)",,,"['Salisbury Road', 'Bradley Street']"
"[40035172, 40141542]",2,,residential,30 mph,False,False,311.923,"LINESTRING (-3.3329805 51.6413334, -3.3327864 51.6413363, -3.3326891 51.6413573, -3.3325887 51.6414492, -3.3324601 51.6416293, -3.3323658 51.6418036, -3.3322452 51.6419304, -3.3320209 51.6420536, -3.3313769 51.6425045, -3.3313262 51.6425774, -3.3312771 51.6429888, -3.3312911 51.6430748, -3.3321362 51.6433958)",,,"['Nash Street', 'Tressilian Place']"
102572701,,,tertiary,,False,False,182.711,"LINESTRING (-3.3329805 51.6413334, -3.332839 51.6427678, -3.3328107 51.6428674, -3.3327575 51.642967)",,,Park Street
102572701,,,tertiary,,False,True,66.766,"LINESTRING (-3.3329805 51.6413334, -3.3330042 51.6409992, -3.3330417 51.6407343)",,,Park Street
24812875,2,,residential,30 mph,False,False,101.203,"LINESTRING (-3.3338328 51.6423582, -3.3332807 51.6426956, -3.3328825 51.6429389, -3.3327575 51.642967)",,,Aberdare Road
"[24812875, 40141547]",2,,residential,30 mph,False,True,129.568,"LINESTRING (-3.3338328 51.6423582, -3.3346561 51.6418624, -3.3347631 51.641834, -3.3347782 51.641902, -3.3347641 51.6422143)",,,"['Littlewoods', 'Aberdare Road']"
40141543,2,,residential,30 mph,False,True,176.924,"LINESTRING (-3.3338328 51.6423582, -3.3337846 51.6422535, -3.333981 51.6407763)",,,Cardiff Road
40141543,2,,residential,30 mph,False,False,35.774,"LINESTRING (-3.3340106 51.6404551, -3.333981 51.6407763)",,,Cardiff Road
"[40141544, 40141543]",2,,residential,30 mph,False,True,307.247,"LINESTRING (-3.3340106 51.6404551, -3.3341074 51.6395637, -3.3341475 51.6391939, -3.3341023 51.6391199, -3.3339811 51.6391125, -3.3332855 51.6394989, -3.3332306 51.6395639, -3.3331951 51.6396341, -3.3331413 51.6401626, -3.3330662 51.6402378)",,,"['Taff Terrace', 'Cardiff Road']"
40141545,2,,residential,30 mph,False,False,64.684,"LINESTRING (-3.3340106 51.6404551, -3.3335612 51.6404297, -3.3330771 51.6404024)",,,Hill Street
102572701,,,tertiary,,False,False,36.986,"LINESTRING (-3.3330771 51.6404024, -3.3330417 51.6407343)",,,Park Street
102572701,,,tertiary,,False,True,18.318,"LINESTRING (-3.3330771 51.6404024, -3.3330662 51.6402378)",,,Park Street
40141545,2,,residential,30 mph,False,True,64.684,"LINESTRING (-3.3330771 51.6404024, -3.3335612 51.6404297, -3.3340106 51.6404551)",,,Hill Street
102572701,,,tertiary,,False,True,36.986,"LINESTRING (-3.3330417 51.6407343, -3.3330771 51.6404024)",,,Park Street
40141546,2,,residential,30 mph,False,True,64.98599999999999,"LINESTRING (-3.3330417 51.6407343, -3.3335175 51.6407556, -3.333981 51.6407763)",,,
102572701,,,tertiary,,False,False,66.766,"LINESTRING (-3.3330417 51.6407343, -3.3330042 51.6409992, -3.3329805 51.6413334)",,,Park Street
40141543,2,,residential,30 mph,False,True,35.774,"LINESTRING (-3.333981 51.6407763, -3.3340106 51.6404551)",,,Cardiff Road
40141543,2,,residential,30 mph,False,False,176.924,"LINESTRING (-3.333981 51.6407763, -3.3337846 51.6422535, -3.3338328 51.6423582)",,,Cardiff Road
40141546,2,,residential,30 mph,False,False,64.98599999999999,"LINESTRING (-3.333981 51.6407763, -3.3335175 51.6407556, -3.3330417 51.6407343)",,,
549597472,2,B4275,secondary,20 mph,True,False,5.169,"LINESTRING (-3.327663 51.6457438, -3.3275965 51.6457224)",,,Ynysmeurig Road
40035174,,,residential,20 mph,True,False,79.428,"LINESTRING (-3.327663 51.6457438, -3.328065 51.6453648, -3.3283287 51.645162)",,,Martin's Lane
40228453,,,residential,20 mph,False,False,6.97,"LINESTRING (-3.3273615 51.6462533, -3.3272617 51.646263)",,,
40228453,,,residential,20 mph,False,True,7.124,"LINESTRING (-3.3271598 51.6462733, -3.3272617 51.646263)",,,
"[40628867, 40628868]",2,,residential,30 mph,False,False,122.81799999999998,"LINESTRING (-3.325858 51.6460146, -3.3261143 51.6464295, -3.3261176 51.6464749, -3.3260851 51.6465036, -3.3252778 51.6467953)",,,"['Gwendoline Terrace', 'Imperial Court']"
40628872,2,,residential,30 mph,False,True,87.50999999999999,"LINESTRING (-3.3286767 51.6472153, -3.328941 51.6467809, -3.3291214 51.6466368, -3.3292786 51.6465361)",,,North Street
40628873,2,,residential,30 mph,False,True,61.492999999999995,"LINESTRING (-3.3286767 51.6472153, -3.329038 51.6472944, -3.3291727 51.6473239, -3.3295171 51.6473994)",,,West Street
40628872,2,,residential,30 mph,False,False,87.50999999999999,"LINESTRING (-3.3292786 51.6465361, -3.3291214 51.6466368, -3.328941 51.6467809, -3.3286767 51.6472153)",,,North Street
