osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,lanes,junction,bridge
107437539,False,,Sheene Way,unclassified,True,107.351,"LINESTRING (-2.6000976 51.4377325, -2.6003808 51.437605, -2.6004739 51.4375724, -2.6005805 51.4375359, -2.6007068 51.4375127, -2.6009574 51.4374676, -2.6009984 51.4374612, -2.6010591 51.4374582, -2.6011534 51.4374748, -2.6012229 51.437516, -2.6012672 51.437598, -2.6013034 51.437684)",30 mph,,,
"[618362274, 618362275, 4424871]",False,B3120,St John's Lane,secondary,False,78.088,"LINESTRING (-2.6000976 51.4377325, -2.5999301 51.4375645, -2.599845 51.4375077, -2.5996989 51.4374102, -2.5995786 51.4373298, -2.5995609 51.4373189, -2.599378 51.4371957)",30 mph,,,
30216874,False,A38,Sheene Road,trunk,False,78.27499999999999,"LINESTRING (-2.600839 51.439651, -2.6004751 51.4390861, -2.6004244 51.4389963)",20 mph,,,
"[154676296, 30216874]",False,A38,"['West Street', 'Sheene Road']",trunk,True,15.567,"LINESTRING (-2.600839 51.439651, -2.6008714 51.4396873, -2.6009004 51.439713, -2.6009614 51.439731, -2.6010012 51.4397338)",20 mph,,,
548234981,True,,,secondary,False,32.733000000000004,"LINESTRING (-2.600839 51.439651, -2.6008069 51.4397172, -2.6007932 51.4397913, -2.6008026 51.4398563, -2.6008378 51.4399388)",20 mph,,,
154676296,False,A38,West Street,trunk,True,17.338,"LINESTRING (-2.6063345 51.4359874, -2.606522 51.4358842)",20 mph,,,
154676296,False,A38,West Street,trunk,False,54.278,"LINESTRING (-2.6063345 51.4359874, -2.6061978 51.4360674, -2.6060892 51.4361372, -2.6057767 51.4363299)",20 mph,,,
558378721,False,,Chessel Street,unclassified,True,77.146,"LINESTRING (-2.6063345 51.4359874, -2.6065948 51.4362079, -2.6069857 51.43655)",20 mph,,,
671732666,False,B3120,North Street,secondary,False,37.133,"LINESTRING (-2.6031583 51.4411236, -2.6032326 51.4411046, -2.6036303 51.441003, -2.603654 51.4409969)",20 mph,2,,
671732666,False,B3120,North Street,secondary,False,2.827,"LINESTRING (-2.6044948 51.4408019, -2.6045333 51.4407935)",20 mph,2,,
671732666,False,B3120,North Street,secondary,True,32.571,"LINESTRING (-2.6044948 51.4408019, -2.60405 51.4408964)",20 mph,2,,
671732666,False,B3120,North Street,secondary,False,31.404,"LINESTRING (-2.6051742 51.44065, -2.6056051 51.4405627)",20 mph,2,,
671732666,False,B3120,North Street,secondary,True,2.679,"LINESTRING (-2.6051742 51.44065, -2.6051378 51.4406581)",20 mph,2,,
675322027,False,B3120,North Street,secondary,False,43.903999999999996,"LINESTRING (-2.6063139 51.4404069, -2.6064108 51.4403914, -2.6069282 51.4403106)",20 mph,,,
675322027,False,B3120,North Street,secondary,True,41.388000000000005,"LINESTRING (-2.6063139 51.4404069, -2.606222 51.4404262, -2.6057497 51.4405288)",20 mph,,,
675322027,False,B3120,North Street,secondary,False,8.282,"LINESTRING (-2.6070512 51.4402918, -2.6071675 51.4402747)",20 mph,,,
675322027,False,B3120,North Street,secondary,True,8.778,"LINESTRING (-2.6070512 51.4402918, -2.6069282 51.4403106)",20 mph,,,
154512898,False,B3120,North Street,secondary,False,11.032,"LINESTRING (-2.6076274 51.4402056, -2.6077826 51.4401836)",20 mph,,,
154512898,False,B3120,North Street,secondary,True,24.66,"LINESTRING (-2.6076274 51.4402056, -2.6072822 51.4402593)",20 mph,,,
4338364,False,,Exmoor Street,residential,True,96.429,"LINESTRING (-2.6076274 51.4402056, -2.6076879 51.4404239, -2.6077238 51.4405129, -2.6080188 51.4410354)",20 mph,,,
4599057,False,,The Nursery,residential,True,59.869,"LINESTRING (-2.610056 51.4403083, -2.610069 51.4402788, -2.6100983 51.4402124, -2.6101045 51.4401832, -2.6100929 51.4401523, -2.6100561 51.4401068, -2.6097679 51.4398338)",,,,
154512898,False,B3120,North Street,secondary,False,38.351,"LINESTRING (-2.610056 51.4403083, -2.6104157 51.4403943, -2.610565 51.4404424)",20 mph,,,
154512898,False,B3120,North Street,secondary,True,57.469,"LINESTRING (-2.610056 51.4403083, -2.6099019 51.4402875, -2.6095399 51.4402509, -2.6092374 51.4402279)",20 mph,,,
154512898,False,B3120,North Street,secondary,True,7.95,"LINESTRING (-2.6110905 51.4407089, -2.6110031 51.4406626)",20 mph,,,
154676287,True,,British Road,residential,False,59.185,"LINESTRING (-2.6007509 51.4407914, -2.6008406 51.4407784, -2.6014785 51.4405188)",,,,
486050089,False,B3120,East Street,secondary,True,93.08000000000001,"LINESTRING (-2.6007509 51.4407914, -2.6007658 51.4407169, -2.6008127 51.4406313, -2.6008418 51.4405553, -2.6008601 51.4404561, -2.6008557 51.4403429, -2.6008314 51.4400823, -2.6008395 51.4399631)",20 mph,,,
7984486,False,,Upper Sydney Street,residential,True,11.302,"LINESTRING (-2.6092557 51.4407493, -2.6090938 51.4407372)",20 mph,,,
7984486,False,,Upper Sydney Street,residential,False,11.302,"LINESTRING (-2.6090938 51.4407372, -2.6092557 51.4407493)",20 mph,,,
7984486,False,,Upper Sydney Street,residential,True,10.277,"LINESTRING (-2.6090938 51.4407372, -2.6089466 51.4407261)",20 mph,,,
620406075,False,,Upper Sydney Street,residential,False,57.41,"LINESTRING (-2.6090938 51.4407372, -2.6092029 51.4402656, -2.609211 51.4402261)",20 mph,,,
4338364,False,,Exmoor Street,residential,False,96.42899999999999,"LINESTRING (-2.6080188 51.4410354, -2.6077238 51.4405129, -2.6076879 51.4404239, -2.6076274 51.4402056)",20 mph,,,
671732666,False,B3120,North Street,secondary,False,29.635,"LINESTRING (-2.603654 51.4409969, -2.60405 51.4408964)",20 mph,2,,
671732666,False,B3120,North Street,secondary,True,37.133,"LINESTRING (-2.603654 51.4409969, -2.6036303 51.441003, -2.6032326 51.4411046, -2.6031583 51.4411236)",20 mph,2,,
7984486,False,,Upper Sydney Street,residential,False,10.277,"LINESTRING (-2.6089466 51.4407261, -2.6090938 51.4407372)",20 mph,,,
4436661,False,,Malago Vale Estate,unclassified,False,17.201999999999998,"LINESTRING (-2.599062 51.4370045, -2.598952 51.4370152, -2.5988244 51.437046)",,,,
"[145816690, 419944375]",False,B3120,"['Saint Johns Lane', ""St John's Lane""]",secondary,False,142.915,"LINESTRING (-2.599062 51.4370045, -2.5989308 51.436898, -2.5988224 51.4368019, -2.5988022 51.4367773, -2.5987208 51.4366781, -2.598687 51.4366223, -2.5985839 51.436484, -2.5984912 51.436353, -2.5982567 51.4360708, -2.598071 51.4358822)",30 mph,,,
419944375,False,B3120,St John's Lane,secondary,True,30.619,"LINESTRING (-2.599062 51.4370045, -2.5991383 51.4370641, -2.599378 51.4371957)",30 mph,,,
194521737,True,B3120,Saint Johns Lane,secondary,False,17.612,"LINESTRING (-2.5979631 51.4357388, -2.598071 51.4358822)",30 mph,,,
203119290,True,B3122,,secondary,False,16.101000000000003,"LINESTRING (-2.5979631 51.4357388, -2.5979421 51.4357583, -2.5979143 51.435774, -2.5978688 51.4357876, -2.597818 51.4357912, -2.597764 51.4357832)",30 mph,,roundabout,
4441004,False,,Francis Road,residential,True,106.52199999999999,"LINESTRING (-2.598754 51.4365812, -2.598766 51.4364385, -2.5988777 51.4356264)",20 mph,,,
4426989,False,,Dickinsons Fields,residential,True,61.038,"LINESTRING (-2.5973207 51.4355791, -2.5973359 51.4353304, -2.5973481 51.4352744, -2.5973883 51.4352234, -2.5974178 51.435195, -2.5976037 51.4350953)",,,,
4432345,True,B3122,Saint Johns Lane,secondary,False,31.116,"LINESTRING (-2.5973207 51.4355791, -2.5976792 51.4356111, -2.5977356 51.4356128, -2.597765 51.4356083)",30 mph,,,
39019956,True,,Parson Street,trunk,False,18.317,"LINESTRING (-2.606766 51.4325838, -2.6066058 51.4324528)",,,,
4435554,True,A38,,trunk,False,37.95,"LINESTRING (-2.606766 51.4325838, -2.6067321 51.4325297, -2.6067144 51.4324868, -2.6066971 51.4324179, -2.6066988 51.4323493, -2.6067228 51.4323083, -2.6067438 51.4322831, -2.6067649 51.4322578)",,1,,
"[100874698, 102967863]",False,,"['Mansfield Street', 'Hall Street']",residential,True,527.042,"LINESTRING (-2.606766 51.4325838, -2.6062437 51.4328461, -2.6060567 51.4329285, -2.6048377 51.433418, -2.6044311 51.4335925, -2.6041665 51.4336952, -2.6040137 51.4337641, -2.6039617 51.433797, -2.6039592 51.4337986, -2.603918 51.433864, -2.6039234 51.433915, -2.6039471 51.4339618, -2.6039861 51.4340023, -2.6040352 51.4340359, -2.6041015 51.4340556, -2.6042054 51.4340652, -2.6043306 51.4340569, -2.6047613 51.43399, -2.6053081 51.4337752, -2.6059893 51.4335047, -2.6066137 51.4332459, -2.607244 51.4329312)",20 mph,,,
4436661,False,,Malago Vale Estate,unclassified,True,17.201999999999998,"LINESTRING (-2.5988244 51.437046, -2.598952 51.4370152, -2.599062 51.4370045)",,,,
4436941,True,A3029,,trunk,False,51.533,"LINESTRING (-2.6105224 51.4328312, -2.6104553 51.4329347, -2.6104418 51.4329799, -2.6104357 51.433011, -2.6104632 51.433085, -2.6104848 51.4331212, -2.6105457 51.4331682, -2.6106703 51.4332304)",,1,,
23783471,True,A38,Bedminster Down Road,trunk,False,62.031000000000006,"LINESTRING (-2.6105224 51.4328312, -2.6100261 51.4330151, -2.6097659 51.4331285)",,,,
4652236,False,,Luckwell Road,tertiary,True,72.093,"LINESTRING (-2.6112356 51.4399468, -2.6108892 51.4402052, -2.6107847 51.4402815, -2.61067 51.4403665, -2.610565 51.4404424)",20 mph,,,
154518410,False,,Chessel Street,unclassified,False,76.102,"LINESTRING (-2.6112356 51.4399468, -2.6111985 51.4399111, -2.6106379 51.4393727)",,,,
4515080,False,,Garnet Street,residential,False,80.166,"LINESTRING (-2.60829 51.43752, -2.6091812 51.4370605)",,,,
4515080,False,,Garnet Street,residential,True,199.224,"LINESTRING (-2.60829 51.43752, -2.6059812 51.4385871)",,,,
154518410,False,,Chessel Street,unclassified,True,52.679,"LINESTRING (-2.60829 51.43752, -2.6087938 51.4378747)",,,,
558378721,False,,Chessel Street,unclassified,False,58.953,"LINESTRING (-2.60829 51.43752, -2.6077305 51.4371207)",20 mph,,,
4515080,False,,Garnet Street,residential,False,199.224,"LINESTRING (-2.6059812 51.4385871, -2.60829 51.43752)",,,,
154553825,False,,South Street,unclassified,True,13.507,"LINESTRING (-2.6059812 51.4385871, -2.6061058 51.4386805)",20 mph,,,
154553825,False,,South Street,unclassified,False,32.433,"LINESTRING (-2.6059812 51.4385871, -2.6057589 51.4384278, -2.6056891 51.4383845, -2.6056673 51.438371)",20 mph,,,
203792891,False,,Marksbury Road,residential,False,112.738,"LINESTRING (-2.5971697 51.4329235, -2.5978886 51.4328348, -2.5985402 51.4327901, -2.5987778 51.4327827)",,,,
"[619285707, 619285708, 145816654, 145816703]",False,,Marksbury Road,residential,False,122.09,"LINESTRING (-2.5987778 51.4327827, -2.5991978 51.4327914, -2.5995319 51.4328246, -2.5995417 51.4328256, -2.5996415 51.4328361, -2.5996736 51.4328395, -2.5998309 51.4328555, -2.6002308 51.4329027, -2.6005154 51.4329449)",20 mph,,,yes
203792891,False,,Marksbury Road,residential,True,112.738,"LINESTRING (-2.5987778 51.4327827, -2.5985402 51.4327901, -2.5978886 51.4328348, -2.5971697 51.4329235)",,,,
145816703,False,,Marksbury Road,residential,False,102.228,"LINESTRING (-2.6005154 51.4329449, -2.6014823 51.433135, -2.6016832 51.4331935, -2.6018986 51.4332582)",20 mph,,,
"[619285707, 619285708, 145816654, 145816703]",False,,Marksbury Road,residential,True,122.09000000000002,"LINESTRING (-2.6005154 51.4329449, -2.6002308 51.4329027, -2.5998309 51.4328555, -2.5996736 51.4328395, -2.5996415 51.4328361, -2.5995417 51.4328256, -2.5995319 51.4328246, -2.5991978 51.4327914, -2.5987778 51.4327827)",20 mph,,,yes
145816703,False,,Marksbury Road,residential,False,58.29900000000001,"LINESTRING (-2.6018986 51.4332582, -2.6021803 51.4333964, -2.6022238 51.4334178, -2.6023791 51.4335021, -2.6025297 51.4336031)",20 mph,,,
145816703,False,,Marksbury Road,residential,True,102.228,"LINESTRING (-2.6018986 51.4332582, -2.6016832 51.4331935, -2.6014823 51.433135, -2.6005154 51.4329449)",20 mph,,,
145816703,False,,Marksbury Road,residential,True,9.115,"LINESTRING (-2.6026193 51.4336631, -2.6025297 51.4336031)",20 mph,,,
145816703,False,,Marksbury Road,residential,False,18.975,"LINESTRING (-2.6026193 51.4336631, -2.6027586 51.433782, -2.6027812 51.4338007)",20 mph,,,
203792896,False,B3122,Bedminster Road,secondary,True,3.382,"LINESTRING (-2.602742 51.4338188, -2.6027812 51.4338007)",30 mph,,,
100874699,False,,Shepton Walk,residential,True,74.21300000000001,"LINESTRING (-2.602742 51.4338188, -2.6027871 51.4338579, -2.6028365 51.433905, -2.6030045 51.4341352, -2.6031691 51.4343628, -2.603183 51.4343958, -2.6031832 51.4344221)",20 mph,,,
203792896,False,B3122,Bedminster Road,secondary,False,169.347,"LINESTRING (-2.602742 51.4338188, -2.6019042 51.4342781, -2.6016455 51.4344199, -2.6009723 51.4348663)",30 mph,,,
4515080,False,,Garnet Street,residential,True,46.145,"LINESTRING (-2.6106231 51.4360577, -2.6101374 51.4363415)",,,,
154518418,False,,Palmyra Road,residential,True,55.715999999999994,"LINESTRING (-2.6106231 51.4360577, -2.6103246 51.4359047, -2.6100022 51.4357395)",20 mph,,,
4775953,False,,Wesley Street,unclassified,False,65.182,"LINESTRING (-2.6004244 51.4389963, -2.6001095 51.4391066, -2.6000669 51.4391236, -2.6000386 51.4391349, -2.5998844 51.4391947, -2.5997624 51.439242, -2.5996183 51.4392979)",,,,
"[30216874, 419939004, 39019958]",False,A38,Sheene Road,trunk,False,143.23100000000002,"LINESTRING (-2.6004244 51.4389963, -2.600315 51.4386124, -2.6003017 51.4385656, -2.6002827 51.438435, -2.6002734 51.4383715, -2.6002673 51.4383299, -2.6002556 51.4382498, -2.6002428 51.4380324, -2.6002075 51.4379116, -2.6001696 51.4378165, -2.6000976 51.4377325)","['20 mph', '30 mph']",,,
30216874,False,A38,Sheene Road,trunk,True,78.27499999999999,"LINESTRING (-2.6004244 51.4389963, -2.6004751 51.4390861, -2.600839 51.439651)",20 mph,,,
4775953,False,,Wesley Street,unclassified,True,65.182,"LINESTRING (-2.5996183 51.4392979, -2.5997624 51.439242, -2.5998844 51.4391947, -2.6000386 51.4391349, -2.6000669 51.4391236, -2.6001095 51.4391066, -2.6004244 51.4389963)",,,,
32453381,False,,Stanley Street,unclassified,True,29.519,"LINESTRING (-2.605573 51.4397137, -2.605303 51.4395084)",,,,
154553822,False,,Gladstone Street,residential,False,43.842,"LINESTRING (-2.605573 51.4397137, -2.6050681 51.4399512)",20 mph,,,
154553822,False,,Gladstone Street,residential,True,101.59,"LINESTRING (-2.605573 51.4397137, -2.6058302 51.4395973, -2.6067666 51.4391835)",20 mph,,,
154518418,False,,Palmyra Road,residential,True,58.304,"LINESTRING (-2.6100022 51.4357395, -2.6092739 51.4354772)",20 mph,,,
154520457,False,,Elmdale Road,residential,True,91.174,"LINESTRING (-2.6100022 51.4357395, -2.6112798 51.4355446)",,,,
154518418,False,,Palmyra Road,residential,False,55.715999999999994,"LINESTRING (-2.6100022 51.4357395, -2.6103246 51.4359047, -2.6106231 51.4360577)",20 mph,,,
154520457,False,,Elmdale Road,residential,False,125.813,"LINESTRING (-2.6100022 51.4357395, -2.6098961 51.4357629, -2.6092123 51.4360696, -2.6085313 51.4363971)",,,,
154520457,False,,Elmdale Road,residential,False,94.533,"LINESTRING (-2.6085313 51.4363971, -2.607459 51.4369224)",,,,
154520458,False,,Hengaston Street,residential,True,54.517,"LINESTRING (-2.6085313 51.4363971, -2.6080129 51.4360284)",,,,
154520457,False,,Elmdale Road,residential,True,125.813,"LINESTRING (-2.6085313 51.4363971, -2.6092123 51.4360696, -2.6098961 51.4357629, -2.6100022 51.4357395)",,,,
202761583,False,A3029,Winterstoke Road,trunk,True,4.206,"LINESTRING (-2.6113095 51.4334215, -2.6113592 51.4334432)",,,,
202761583,False,A3029,Winterstoke Road,trunk,False,49.317,"LINESTRING (-2.6113095 51.4334215, -2.6112124 51.4333836, -2.6109944 51.433307, -2.6106703 51.4332304)",,,,
23694916,False,,Parker Street,residential,False,36.269,"LINESTRING (-2.608169 51.4392484, -2.6077254 51.4394214)",,,,
154553827,False,,Agate Street,residential,False,64.767,"LINESTRING (-2.608169 51.4392484, -2.6087205 51.4397186)",,,,
154553827,False,,Agate Street,residential,True,43.214,"LINESTRING (-2.608169 51.4392484, -2.6078034 51.4389336)",,,,
23694916,False,,Parker Street,residential,True,36.811,"LINESTRING (-2.6072727 51.4395945, -2.6077254 51.4394214)",,,,
154553825,False,,South Street,unclassified,False,37.614,"LINESTRING (-2.6072727 51.4395945, -2.6071335 51.4394502, -2.6069586 51.4393199)",20 mph,,,
154553825,False,,South Street,unclassified,True,74.645,"LINESTRING (-2.6072727 51.4395945, -2.6076051 51.4399523, -2.607738 51.4400953, -2.6077826 51.4401836)",20 mph,,,
154553827,False,,Agate Street,residential,True,64.767,"LINESTRING (-2.6087205 51.4397186, -2.608169 51.4392484)",,,,
23694917,False,,Lindrea Street,residential,False,38.008,"LINESTRING (-2.6087205 51.4397186, -2.6082938 51.4399079, -2.6082742 51.4399172)",,,,
154553827,False,,Agate Street,residential,False,68.17,"LINESTRING (-2.6087205 51.4397186, -2.6092288 51.440156, -2.6092401 51.4401793, -2.6092374 51.4402279)",,,,
23694917,False,,Lindrea Street,residential,True,38.008,"LINESTRING (-2.6082742 51.4399172, -2.6082938 51.4399079, -2.6087205 51.4397186)",,,,
23694916,False,,Parker Street,residential,False,36.811,"LINESTRING (-2.6077254 51.4394214, -2.6072727 51.4395945)",,,,
23694916,False,,Parker Street,residential,True,36.269,"LINESTRING (-2.6077254 51.4394214, -2.608169 51.4392484)",,,,
23694929,False,,Crowther Street,residential,False,49.621,"LINESTRING (-2.6077254 51.4394214, -2.6081206 51.4397935)",,,,
23694929,False,,Crowther Street,residential,True,49.621,"LINESTRING (-2.6081206 51.4397935, -2.6077254 51.4394214)",,,,
154676287,True,,British Road,residential,False,80.204,"LINESTRING (-2.6031116 51.4395482, -2.6034052 51.43937, -2.6034256 51.4393234, -2.6034324 51.4390657, -2.6034479 51.4390351, -2.6035091 51.4389528, -2.6035284 51.4389178)",,,,
671732666,False,B3120,North Street,secondary,False,32.571,"LINESTRING (-2.60405 51.4408964, -2.6044948 51.4408019)",20 mph,2,,
671732666,False,B3120,North Street,secondary,True,29.635,"LINESTRING (-2.60405 51.4408964, -2.603654 51.4409969)",20 mph,2,,
154676287,True,,British Road,residential,False,19.984,"LINESTRING (-2.6026937 51.4397868, -2.6029021 51.4396626)",,,,
23695001,True,,Braunton Road,unclassified,False,155.45,"LINESTRING (-2.6026937 51.4397868, -2.6034041 51.4402954, -2.6038273 51.4406727, -2.60405 51.4408964)",,,,
23695004,False,,Victoria Place,residential,True,55.551,"LINESTRING (-2.6019625 51.440917, -2.6014785 51.4405188)",,,,
154676296,False,A38,West Street,trunk,True,9.746,"LINESTRING (-2.602913 51.4386819, -2.6030127 51.4386201)",20 mph,,,
100337595,False,,Cromwell Street,residential,True,69.036,"LINESTRING (-2.602913 51.4386819, -2.6025222 51.4384886, -2.6024763 51.4384895, -2.6020968 51.4386416)",,,,
154676296,False,A38,West Street,trunk,False,70.696,"LINESTRING (-2.602913 51.4386819, -2.6027515 51.4387881, -2.6025867 51.4389259, -2.6022903 51.4391842)",20 mph,,,
100531322,True,,Hebron Road,residential,False,68.399,"LINESTRING (-2.6022903 51.4391842, -2.60249 51.4392949, -2.6029021 51.4396626)",,,,
154676296,False,A38,West Street,trunk,False,44.567,"LINESTRING (-2.6022903 51.4391842, -2.6021699 51.4392682, -2.6020164 51.4393347, -2.601794 51.4394359)",20 mph,,,
154676296,False,A38,West Street,trunk,True,70.696,"LINESTRING (-2.6022903 51.4391842, -2.6025867 51.4389259, -2.6027515 51.4387881, -2.602913 51.4386819)",20 mph,,,
23783471,True,A38,Bedminster Down Road,trunk,False,48.249,"LINESTRING (-2.6110756 51.4325681, -2.6107687 51.4327207, -2.6105224 51.4328312)",,,,
154518416,False,,Luckwell Road,tertiary,False,33.836,"LINESTRING (-2.6111005 51.435084, -2.6111549 51.4347816)",20 mph,,,
154520456,False,,Avonleigh Road,residential,True,37.771,"LINESTRING (-2.6111005 51.435084, -2.6105627 51.4351386)",,,,
154518416,False,,Luckwell Road,tertiary,True,52.703,"LINESTRING (-2.6111005 51.435084, -2.6111337 51.435173, -2.6112798 51.4355446)",20 mph,,,
154520456,False,,Avonleigh Road,residential,False,37.771,"LINESTRING (-2.6105627 51.4351386, -2.6111005 51.435084)",,,,
107437554,False,,Derry Road,residential,False,52.947,"LINESTRING (-2.6105627 51.4351386, -2.6104763 51.4349066, -2.6102007 51.4348663, -2.6101046 51.4348523)",,,,
154520456,False,,Avonleigh Road,residential,True,97.542,"LINESTRING (-2.6105627 51.4351386, -2.6102245 51.4351943, -2.6098621 51.4352764, -2.6094864 51.4353912, -2.6092739 51.4354772)",,,,
154512898,False,B3120,North Street,secondary,False,7.95,"LINESTRING (-2.6110031 51.4406626, -2.6110905 51.4407089)",20 mph,,,
154512898,False,B3120,North Street,secondary,True,39.007,"LINESTRING (-2.6110031 51.4406626, -2.610843 51.4405814, -2.610565 51.4404424)",20 mph,,,
675322027,False,B3120,North Street,secondary,False,8.778,"LINESTRING (-2.6069282 51.4403106, -2.6070512 51.4402918)",20 mph,,,
154518414,False,,Dorset Street,residential,False,65.713,"LINESTRING (-2.6069282 51.4403106, -2.6068263 51.4400971, -2.6068095 51.440062, -2.60661 51.4397546)",,,,
675322027,False,B3120,North Street,secondary,True,43.903999999999996,"LINESTRING (-2.6069282 51.4403106, -2.6064108 51.4403914, -2.6063139 51.4404069)",20 mph,,,
154676292,False,,Sion Road,residential,True,12.949,"LINESTRING (-2.6038804 51.4390921, -2.6040121 51.4391747)",20 mph,,,
32452828,False,,Prospect Terrace,residential,False,22.629,"LINESTRING (-2.6040121 51.4391747, -2.603772 51.4393126)",,,,
154676292,False,,Sion Road,residential,False,12.949,"LINESTRING (-2.6040121 51.4391747, -2.6038804 51.4390921)",20 mph,,,
154676292,False,,Sion Road,residential,True,113.291,"LINESTRING (-2.6040121 51.4391747, -2.6040638 51.4392146, -2.6044722 51.4394833, -2.6045867 51.4395728, -2.6050681 51.4399512)",20 mph,,,
32452828,False,,Prospect Terrace,residential,True,22.629,"LINESTRING (-2.603772 51.4393126, -2.6040121 51.4391747)",,,,
32453381,False,,Stanley Street,unclassified,False,29.519,"LINESTRING (-2.605303 51.4395084, -2.605573 51.4397137)",,,,
154520462,False,,Ruby Street,residential,True,200.851,"LINESTRING (-2.606468 51.4389521, -2.6087938 51.4378747)",,,,
154553825,False,,South Street,unclassified,False,39.273,"LINESTRING (-2.606468 51.4389521, -2.6061058 51.4386805)",20 mph,,,
154553825,False,,South Street,unclassified,True,33.022,"LINESTRING (-2.606468 51.4389521, -2.6067666 51.4391835)",20 mph,,,
154676296,False,A38,West Street,trunk,False,1.249,"LINESTRING (-2.6010191 51.4397351, -2.6010012 51.4397338)",20 mph,,,
100531317,True,,Diamond Street,residential,False,84.442,"LINESTRING (-2.6010191 51.4397351, -2.6012319 51.4399392, -2.6012852 51.439991, -2.6013035 51.440006, -2.6017877 51.4403201)",,,,
154676296,False,A38,West Street,trunk,True,63.179,"LINESTRING (-2.6010191 51.4397351, -2.6012201 51.4396575, -2.601794 51.4394359)",20 mph,,,
486050090,False,,East Street,secondary,False,2.705,"LINESTRING (-2.6008395 51.4399631, -2.6008378 51.4399388)",20 mph,,,
107437547,False,,St John Street,unclassified,False,84.55000000000001,"LINESTRING (-2.6008395 51.4399631, -2.6006684 51.4399936, -2.6002428 51.4400694, -2.6002077 51.4400748, -2.6000782 51.4400797, -2.5997346 51.4400633, -2.5996656 51.4400285)",,,,
486050089,False,B3120,East Street,secondary,False,93.08,"LINESTRING (-2.6008395 51.4399631, -2.6008314 51.4400823, -2.6008557 51.4403429, -2.6008601 51.4404561, -2.6008418 51.4405553, -2.6008127 51.4406313, -2.6007658 51.4407169, -2.6007509 51.4407914)",20 mph,,,
154520458,False,,Hengaston Street,residential,False,83.357,"LINESTRING (-2.6070661 51.4355688, -2.6072658 51.4356875, -2.6074313 51.4357749, -2.6078775 51.4359716, -2.6080129 51.4360284)",,,,
154676296,False,A38,West Street,trunk,False,51.509,"LINESTRING (-2.6070661 51.4355688, -2.6068164 51.4357188, -2.606522 51.4358842)",20 mph,,,
154676296,False,A38,West Street,trunk,True,21.193,"LINESTRING (-2.6070661 51.4355688, -2.60727 51.4354497, -2.6072876 51.4354375)",20 mph,,,
154676296,False,A38,West Street,trunk,False,39.932,"LINESTRING (-2.6050916 51.4367479, -2.6047051 51.4370142)",20 mph,,,
154676296,False,A38,West Street,trunk,True,51.007,"LINESTRING (-2.6050916 51.4367479, -2.6056125 51.4364239)",20 mph,,,
44033943,False,,Stanley Street South,residential,False,48.955999999999996,"LINESTRING (-2.6050916 51.4367479, -2.6046048 51.4364981, -2.6045463 51.4364681)",,,,
101801417,False,,Bartletts Road,residential,False,47.306,"LINESTRING (-2.6042254 51.4354267, -2.6046289 51.4357698)",,,,
