osmid,oneway,highway,reversed,length,lanes,ref,name,maxspeed,geometry,access
354054217,False,trunk_link,False,13.006,,,,,"LINESTRING (151.9473902 -27.4690775, 151.9474492 -27.4691821)",
70506555,False,residential,True,157.643,,,Ninderry Drive,50,"LINESTRING (151.9473902 -27.4690775, 151.947327 -27.4690014, 151.9464452 -27.4679343)",yes
574554710,True,trunk,False,320.119,2,A3;ACW,New England Highway,70,"LINESTRING (151.9473902 -27.4690775, 151.9478521 -27.4687166, 151.9486691 -27.4680797, 151.9498199 -27.4671695)",
70506564,False,residential,False,388.01700000000005,,,Merrol Street,50,"LINESTRING (151.9426319 -27.4694023, 151.9426476 -27.4693474, 151.9426386 -27.4692966, 151.9426047 -27.4692465, 151.9415497 -27.4679754, 151.9415184 -27.4679265, 151.9415096 -27.4678851, 151.9415122 -27.4678395, 151.9415366 -27.4677991, 151.9415789 -27.4677568, 151.9421534 -27.467381, 151.9429378 -27.4668678)",yes
70506564,False,residential,True,103.59200000000001,,,Merrol Street,50,"LINESTRING (151.9426319 -27.4694023, 151.9426773 -27.469417, 151.9427022 -27.469425, 151.9427532 -27.4694441, 151.9428125 -27.469482, 151.9433153 -27.4700865)",yes
70506564,False,residential,False,103.592,,,Merrol Street,50,"LINESTRING (151.9433153 -27.4700865, 151.9428125 -27.469482, 151.9427532 -27.4694441, 151.9427022 -27.469425, 151.9426773 -27.469417, 151.9426319 -27.4694023)",yes
139644735,False,residential,True,226.038,,,Rainbow Road,50,"LINESTRING (151.9471222 -27.4650791, 151.9457679 -27.4634395)",
139645892,False,residential,False,119.931,2,,Forrest Drive,50,"LINESTRING (151.9471222 -27.4650791, 151.9481046 -27.4644439)",yes
139645892,False,residential,True,70.828,2,,Forrest Drive,50,"LINESTRING (151.9471222 -27.4650791, 151.9465514 -27.4654654)",yes
139644735,False,residential,False,103.441,,,Rainbow Road,50,"LINESTRING (151.9451423 -27.462693, 151.9457679 -27.4634395)",
139645474,False,residential,False,180.099,,,Sunray Drive,50,"LINESTRING (151.9451423 -27.462693, 151.9436815 -27.4636642)",yes
139645892,False,residential,False,70.828,2,,Forrest Drive,50,"LINESTRING (151.9465514 -27.4654654, 151.9471222 -27.4650791)",yes
139644735,False,residential,False,226.038,,,Rainbow Road,50,"LINESTRING (151.9457679 -27.4634395, 151.9471222 -27.4650791)",
139644735,False,residential,True,103.441,,,Rainbow Road,50,"LINESTRING (151.9457679 -27.4634395, 151.9451423 -27.462693)",
139645474,False,residential,True,180.099,,,Sunray Drive,50,"LINESTRING (151.9436815 -27.4636642, 151.9451423 -27.462693)",yes
139646380,False,residential,True,178.323,,,Maylen Court,50,"LINESTRING (151.9436815 -27.4636642, 151.9447571 -27.464953)",yes
139646380,False,residential,False,178.323,,,Maylen Court,50,"LINESTRING (151.9447571 -27.464953, 151.9436815 -27.4636642)",yes
139646952,False,residential,True,110.596,,,McPartland,50,"LINESTRING (151.9433258 -27.4653735, 151.9439871 -27.4661766)",yes
70506564,False,residential,True,128.937,,,Merrol Street,50,"LINESTRING (151.9439871 -27.4661766, 151.9429378 -27.4668678)",yes
139646952,False,residential,False,110.596,,,McPartland,50,"LINESTRING (151.9439871 -27.4661766, 151.9433258 -27.4653735)",yes
"[70506555, 70506564]",False,residential,False,374.47,,,"['Merrol Street', 'Ninderry Drive']",50,"LINESTRING (151.9439871 -27.4661766, 151.9445229 -27.4658237, 151.9445723 -27.4658073, 151.9446348 -27.4658095, 151.9446901 -27.4658283, 151.9447426 -27.4658685, 151.9464452 -27.4679343)",yes
140180185,False,residential,True,213.179,,,Lucinda Avenue,50,"LINESTRING (151.9493923 -27.4659834, 151.9481046 -27.4644439)",yes
140180188,False,residential,False,362.77,,,Gladswood Drive,50,"LINESTRING (151.9493923 -27.4659834, 151.9464452 -27.4679343)",yes
140180188,False,residential,True,156.766,,,Gladswood Drive,50,"LINESTRING (151.9493923 -27.4659834, 151.9498216 -27.465682, 151.9501697 -27.4654011, 151.9505956 -27.4650637)",yes
140180188,False,residential,False,156.766,,,Gladswood Drive,50,"LINESTRING (151.9505956 -27.4650637, 151.9501697 -27.4654011, 151.9498216 -27.465682, 151.9493923 -27.4659834)",yes
139645892,False,residential,True,119.931,2,,Forrest Drive,50,"LINESTRING (151.9481046 -27.4644439, 151.9471222 -27.4650791)",yes
140180185,False,residential,False,213.179,,,Lucinda Avenue,50,"LINESTRING (151.9481046 -27.4644439, 151.9493923 -27.4659834)",yes
70506564,False,residential,False,128.937,,,Merrol Street,50,"LINESTRING (151.9429378 -27.4668678, 151.9439871 -27.4661766)",yes
140180310,False,residential,True,290.466,,,Lillian Court,50,"LINESTRING (151.9429378 -27.4668678, 151.9447374 -27.4689352)",yes
70506564,False,residential,True,388.01700000000005,,,Merrol Street,50,"LINESTRING (151.9429378 -27.4668678, 151.9421534 -27.467381, 151.9415789 -27.4677568, 151.9415366 -27.4677991, 151.9415122 -27.4678395, 151.9415096 -27.4678851, 151.9415184 -27.4679265, 151.9415497 -27.4679754, 151.9426047 -27.4692465, 151.9426386 -27.4692966, 151.9426476 -27.4693474, 151.9426319 -27.4694023)",yes
140180310,False,residential,False,290.466,,,Lillian Court,50,"LINESTRING (151.9447374 -27.4689352, 151.9429378 -27.4668678)",yes
354054215,False,trunk_link,False,12.9,,,,,"LINESTRING (151.9498199 -27.4671695, 151.9499147 -27.4672494)",
